1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	<eps> PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP <eps> <eps> <eps>	_
1353	PREP CHIF CHIF NFP PREP DETFS NFS PREP NFS COCO PREFP VERB PREP PROPN PREP PROPN XFAMIL PREP ADJMP DET NMP VERB PROPN DETFS NFS ADJFS VERB PREP PDEMMS NMS ADV DET NFP PREP PROPN	PREP CHIF CHIF NFP PREP DETFS NFS PREP NFS COCO PREFP VERB PREP PROPN PREP PROPN VERB PREP ADJMP DET NMP VERB PREP DETFS NFS ADJFS VERB PREP PDEMMS NMS ADV DET NFP PREP PROPN	_
1354	INTJ COCO PPER3MS VERB ADV ADJMS PREP DET NFP PREP PROPN COCO PPER1S VERB PREFP VERB PROPN COSUB <eps> DETFS NFS AUX ADV ADV PREP NMS PREP VERB DINTFS NFS PREP PDEMMS DINTMS NMS ADV NFS <eps> <eps> PREP NOUN PROPN PREP NOUN PDEMFS NFS ADJFS PREL AUX VPPMS	INTJ <eps> PPER3MS VERB ADV ADJMS PREP DET NFP PREP PROPN COCO PPER1S VERB PREFP VERB PROPN XFAMIL PREP DETFS NFS AUX ADV ADV PREP NMS PREP VERB DINTFS NFS PREP PDEMMS DINTMS NMS ADV PREP DET NFP PREP NOUN NFS PREP NOUN PDEMFS NFS ADJFS PREL AUX VPPMS	_
1355	DET NMS PREP ADV PREP CHIF CHIF NMP PROPN AUX DETMS CHIF NMS PREP PROPN PREP PROPN PDEMMS AUX DETFS NFS ADV	DET NMS PREP <eps> <eps> CHIF NMP NMP PROPN AUX DETMS CHIF NMS PREP PROPN PREP PROPN COCO <eps> DETFS NFS ADV	_
1356	CHIF CHIF NMP PREF AUX VPPMS PREP COCO PREP DET NMP PPER3FS VERB DETMS NMS DET NMP PREP PROPN	CHIF <eps> NMP PREF AUX VPPMS PREP <eps> PREP DET NMP PPER3FS VERB DETMS NMS DET NMP PREP PROPN	_
1357	PPER1S AUX ADV PREP PROPN XFAMIL XFAMIL AUX DINTMS DET ADJMP NMP DINTMS NMS PREP DETFS NFS ADJFS COCO PREFP PPOBJMS VERB PREP DET NFP PREP PROPN ADV <eps> <eps> <eps> DET NMP PREP NFP PREL AUX VPPFP PREP	PPER1S AUX ADV PREP PROPN XFAMIL COCO PREP DINTMS DET ADJMP NMP DINTMS NMS PREP DETFS NFS ADJFS COCO PREFP PPOBJMS VERB PREP DET NFP PREP PROPN ADV PPER3MS PPOBJMS VERB DET NMP PREP NFP PREL AUX VPPMP PREP	_
1358	PREP PDEMFS NFS PREL VERB <eps> PREP ADV VERB VERB PREP DET NMP ADV ADJMP PREP DET PRON PREL VERB PREF VERB PREP PROPN PPER3MS PPOBJMS AUX VPPMS DET NFS PREP PROPN DINTMS ADV ADV ADV PREP PROPN XFAMIL PPER3MS PPOBJMS AUX VPPMS	<eps> PDEMFS NFS PREL ADV ADV PREP ADV VERB VERB PREP DET NMP ADV ADJFS PREP DET PRON PREL VERB PREF VERB PREP PROPN PPER3MS PPOBJMS AUX VPPMS DET NFS PREP PROPN DINTMS ADV ADV ADV PREP PROPN XFAMIL PPER3MS PPOBJMS AUX VPPMS	_
1359	DETMS CHIF PROPN XFAMIL DETFS NFS DINTMS ADJMS NMS ADJMS PROPN XFAMIL COCO DETMS NMS ADJMS PROPN ADV ADV PREFP AUX PREP ADJFS NFS COCO ADV PRON AUX PREP DINTMS NMS PINDMS PPOBJMS VERB ADV PREP PROPN XFAMIL DETFS NFS ADJFS VERB VERB	<eps> CHIF PROPN XFAMIL DETFS NFS DINTMS ADJMS NMS ADJMS PROPN XFAMIL COCO DETMS NMS ADJMS PROPN ADV ADV PREFP AUX PREP ADJFS NFS COCO ADV PRON AUX PREP DINTFS NFS PINDMS PPOBJMS VERB ADV PREP PROPN XFAMIL DETFS NFS ADJFS VERB VERB	_
1360	PREP DETMS NMS PREP PROPN COCO PINDMS VERB DETFS NFS PREP PDEMMS PREP DINTMS NMS ADJMS PROPN COCO PROPN <eps> PREL PREF AUX VPPMP PPER3MS PPOBJMS VERB DINTMS ADV ADV PREP CHIF NMS COCO PREL AUX VPPMS DETFS NFS PREP DET NFP PREP NMP PREP NFP NMS AUX ADV ADV	PREP DETMS NMS PREP PROPN COCO PINDMS VERB DETFS NFS PREP PDEMMS PREP DINTMS NMS ADJMS PROPN COCO ADV VERB PREL PREF AUX VPPMP PPER3MS PPOBJMS VERB DINTMS ADV ADV PREP CHIF NMS COCO PREL AUX VPPMS DETFS NFS PREP DET NFP PREP NMP PREP NFP ADV AUX <eps> ADV	_
1361	PREP DETMS NMS PREP PROPN ADV PPER1S PREFP PPOBJMS VERB <eps> CHIF CHIF NMP ADV <eps> PREP NMS PREP DETFS NFS ADJFS PREP DET NFP PREP PROPN COCO DET NFP PREF AUX VPPMS ADV DET ADJ	PREP DETMS NMS PREP PROPN ADV PPER1S PREFP PPOBJMS VERB PREP CHIF CHIF NMP ADV ADV PREP NMS PREP DETFS NFS ADJFS PREP DET NFP PREP PROPN COCO DET NFP PREF AUX VPPMS ADV DET ADJ	_
1362	NMP PREP PREL VERB AUX ADV DINTMS NMS PREP VERB PDEMFS NFS ADV PREP DET NMP ADV <eps> PPER1S PPOBJMP AUX VPPMS CHIF DINTMS ADV ADJMS COCO PDEMMS AUX COSUB ADV ADJMS NMS AUX DINTMS NMS PPER3MS PPOBJMS VERB PROPN XFAMIL	NMS PREP PREL VERB AUX ADV DINTMS NMS PREP VERB PDEMFS NFS ADV PREP PPOBJMP VERB ADV ADV PPER1S PPOBJMP AUX VPPMS CHIF DINTMS ADV ADJMS COCO PDEMMS AUX COSUB ADV ADJMS NMS AUX DINTMS NMS PPER3MS PPOBJMS VERB PROPN XFAMIL	_
1363	COCO <eps> PPOBJMS PPER3MS AUX VPPMS CHIF NMP PREP NMP PREP DINTMS NMS PREP NMS PREP PROPN <eps> ADV PREP PPOBJMS VERB COSUB PINDMS PPOBJMS AUX VPPMS DET NMP PREP DETFS NFS ADJFS PPER3MS PPOBJMS VERB ADV DETMS NMS PROPN XFAMIL XFAMIL	VERB PREP PPOBJMS PPOBJFS VERB <eps> CHIF NMP PREP NMP PREP DINTMS NMS DETMS NMS PREP PROPN XFAMIL ADV PREP PPOBJMS VERB PREP DET PROPN <eps> VPPMS DET NMP PREP DETFS NFS ADJFS PPER3MS PPOBJMS VERB ADV DETMS NMS PROPN XFAMIL XFAMIL	_
1364	ADV ADJMP DET <eps> <eps> ADJMP NMP PREL PPER3MS VERB <eps> VERB PREP DETFS DETFS NFS PDEMMS ADV AUX ADV ADV VPPMS COSUB PDEMMS AUX DINTMS NMS PPER3MS AUX VPPMS DETMS NMS	PDEMMS AUX DET ADJMP DET DET NMP PREL <eps> VERB PPOBJMS VERB PREP DETFS DETFS NFS PDEMMS ADV AUX ADV ADV VPPMS COSUB PDEMMS AUX DINTMS NMS PPER3MS AUX VPPMS DETMS NMS	_
1365	PREP PROPN PREP PROPN XFAMIL COCO PREP PROPN COCO ADV PPER3MS PPOBJMS AUX VPPMS DINTFS ADJFS <eps> <eps> <eps> NFS ADJFS PROPN XFAMIL ADJMS ADV PREL AUX VPPMS DETFS NFS COCO PINDMP AUX VPPMS ADV PREP DET NMP ADJMP PREP DET NFS PRELMP PPER3MP PREF VERB	<eps> PROPN PREP PROPN XFAMIL COCO PREP PROPN COCO ADV PPER3MS PPOBJMS AUX VPPMS DETMS ADJMS COCO ADV ADV DET NMS PROPN XFAMIL ADJFS ADV PREL AUX VPPMS DETFS NFS COCO PINDMP AUX VPPMS ADV PREP DET NMP ADJMP PREP DET NFS PRELFP PPER3MS PREF VERB	_
1366	ADV VERB ADV ADJMS NMS PREP VERB PREP DET NMS ADJMS COCO ADV DETFS NFS PREP NFS ADJFS PREL VERB <eps> DET NMS PREP DET PROPN	<eps> VERB ADV VPPMS <eps> PREP VERB PREP DET NMS ADJMS COCO ADV DETFS NFS PREP NFS ADJFS PREL VERB PREP DET NMS PREP DET PROPN	_
1367	CHIF CHIF NMP PREP DET NMP ADV PREP PROPN CHIF CHIF NFP CHIF CHIF CHIF NFP CHIF PREP PROPN XFAMIL COCO DETFS NFS PREP PDEMMS NMS PREP DET NMS PREP VERB <eps> ADV PREP VERB ADV DETMS NMS ADJMS PDEMMS AUX PREP PROPN XFAMIL PREP DINTMS DET ADJMP NMP ADJMP COCO ADV PPER3MS PPOBJMS VERB DINTMS NMS	CHIF CHIF NMP PREP DET NMP ADV PREP PROPN CHIF CHIF NFP CHIF CHIF CHIF NFP CHIF PREP PROPN XFAMIL AUX DETFS NFS PREP PDEMMS NMS PREP DET NMS PREP ADV ADV ADV PREP VERB ADV DETMS NMS ADJMS PDEMMS AUX PREP PROPN XFAMIL PREP DINTMS DET ADJMP NMP ADJMP <eps> <eps> PPER3MS PPOBJMS VERB DINTMS NMS	_
1368	NMS PREP VERB DET NMS PREFP PPOBJMS AUX ADV ADJMS	NMS PREP VERB DET NMS PREFP PPOBJMS AUX ADV ADJMS	_
1369	INTJ ADV VERB PROPN PINDMS PREFP VERB ADV COSUB PPER1S AUX ADV VPPMS PREP DINTMS NMS COCO ADV DINTMS ADV ADV PREP PROPN XFAMIL COCO PROPN <eps> PREFP VERB PREP NMS	INTJ PROPN PUNCT VERB PINDMS PREFP VERB ADV COSUB PPER1S AUX ADV VPPMS PREP DINTFS NFS COCO ADV DINTMS ADV ADV PREP PROPN <eps> COCO PROPN XFAMIL PREFP VERB PREP NMS	_
1370	COCO DETFS NFS AUX VPPFS PREP PDEMMS NMS ADV PREP PROPN XFAMIL ADV PREP ADV PREP DET NFS PROPN XFAMIL <eps> <eps> <eps> PREP NMS PREP PROPN PREL PREFP AUX VERB ADV PDEMMS <eps> PREP PROPN COCO DET DETFS NFS NFS PREP NFS ADJFS AUX ADV ADJMS ADJMS NMS	<eps> DETFS NFS AUX VPPFS PREP PDEMMS NMS <eps> PREP PROPN XFAMIL ADV PREP ADV PREP DET NFS PINDMS VERB DETMS NMS ADJMS PREP NMS PREP PROPN PREL PREFP AUX VERB ADV PDEMMS AUX PREP <eps> <eps> DET NFP DINTFS NFS PREP NFS ADJFS AUX ADV ADJMS PUNCT NMS	_
1371	CHIF CHIF NFP NFS ADJFS COCO DETFS NFS AUX VPPMS ADV PREP ADV DETMS NMS ADJMS ADV DETFS NFS ADJFS PPOBJFS	CHIF CHIF NFP NFS ADJFS COCO DETFS NFS AUX VPPMS ADV PREP ADV DETMS NMS ADJMS ADV DETFS NFS ADJFS <eps>	_
1372	NFP DET NMP ADJMP ADJMS AUX DETMS NMS DINTMS ADJMS NMS PDEMFS NFS ADJFS PROPN <eps> PREP PROPN	NFP DET NMP ADJMP ADJMS AUX DETMS NMS DINTMS ADJMS NMS PDEMFS NFS ADJMS MOTINC MOTINC PREP PROPN	_
1373	DET NMP PROPN PREP NMS PREP PROPN XFAMIL XFAMIL XFAMIL VERB PREFP PPOBJMS VERB ADV PROPN PREP ADV PPER3MS VERB ADV ADJMS COCO PINDMS VERB VERB NMS ADJMS NMS PREP DETFS NFS DINTMS ADJMS NMS ADV PDEMMS AUX ADJMS PINDMS VERB ADV VERB AUX ADJMS PREP VERB PREP NMS PREP PDEMMS NMS PREL VERB ADJMP DET CHIF NMP	NMS <eps> PROPN PREP NMS PREP PROPN XFAMIL XFAMIL XFAMIL XFAMIL PREFP <eps> VERB ADV PROPN AUX ADV <eps> VERB ADV ADJMS COCO ADV <eps> <eps> NMS ADJMS NMS PREP DETFS NFS DINTMS ADJMS NMS ADV PDEMMS AUX ADJMS PINDMS VERB ADV VERB AUX ADJMS PREP VERB PREP NMS PREP PDEMMS NMS PREL VERB ADJMP DET CHIF <eps>	_
1374	ADV DET NMP ADJMP PUNCT AUX DINTMS NMS PREP DET ADJMS NMS ADV ADV PDEMMS VERB PREP ADV PPER3MS PPOBJMS VERB DINTFS NFS ADJFS ADJFS ADV PDEMMS VERB DET NMP PREP PROPN COCO COCO	<eps> DET NMP ADJMP PUNCT AUX DINTMS NMS DINTMS NMS ADJMS NMS ADV <eps> PDEMMS VERB PREP ADV PPER3MS PPOBJMS VERB DINTFS NFS ADJFS ADJFS <eps> PDEMMS VERB DET NMP PREP PROPN COCO COCO	_
1375	COCO PREP DETFS PROPN ADJFS COCO ADV ADV PREP DET NMS PRON AUX DET ADJMS NFP ADJFP	VERB PREP DETFS PROPN ADJFS COCO ADV ADV PREP DET NMS PRON AUX DET ADJMS NFP ADJFP	_
1376	COCO PDEMMS AUX ADJMS COSUB PDEMMS AUX DINTMS NMS PREP NMS PREP PROPN PINDMS VERB DINTMS ADJ NMS ADJMS PINDMS PPOBJMS VERB PREP DET NMS ADJMS AUX ADJMS COSUB PREP DINTFS NFS ADV PINDMS AUX VPPMS PPOBJFP VERB ADV ADV ADV ADV DET NFP DINTMS NMS NOUN PREL AUX DETMS NMS DETMS ADV ADJMS	<eps> PDEMMS AUX ADJMS COSUB PDEMMS AUX DINTMS NMS PREP NMS PREP PROPN PINDMS VERB DINTMS ADJ NMS ADJMS PINDMS PPOBJMS VERB PREP DET NMS ADJMS AUX ADJMS COSUB PREP DINTFS NFS ADV PINDMS AUX VPPMS PPOBJFP VERB ADV ADV DINTMS ADV DET NFP DINTMS NMS NOUN PREL AUX DETMS NMS DETMS ADV ADJMS	_
1377	COCO PREP ADV PREP PREP DETFS NFS COCO PPER3MS VERB DET NFS PPER3MS VERB ADV AUX ADJMS <eps> PRON AUX DET NMP COCO PREP ADJMP NMP PREL VERB DET NMP ADJMP COCO PPER3MS VERB COSUB ADV DET NFS PREP PDEMMS NMS ADJMS ADV PREP NOUN DINTMS NMS ADV ADJMS COSUB DETFS NFS PREP PRELFS PINDMS PINDMS PREF VERB <eps> PREP NMS	COCO PREP ADV PREP PREP DETFS NFS PROPN PPER3MS VERB DET NFS PPER3MS VERB ADV AUX ADJMS DINTMS PRON AUX DET NMP COCO PREP ADJMP NMP PREL VERB DET NMP ADJMP COCO PPER3MS VERB ADV ADV DET NFS <eps> PDEMMS NMS ADJMS ADV PREP NOUN DINTMS NMS ADV ADJMS COSUB DETFS NFS PREP PRELFS PINDMS PINDMS PREF VERB ADV PREP NMS	_
1378	PREFP VERB PDEMMS AUX DINTMS NMS ADJ ADV ADV PINDMS AUX ADV PREP NMS DINTMS DINTMS NMS DINTMS NMS NOUN	ADJMS <eps> NMS AUX DINTMS NMS ADJ ADV ADV PINDMS AUX ADV PREP NMS DINTMS NMS DINTMS <eps> NMS NOUN	_
1379	ADV COSUB PRON AUX DET DET NFP COCO PROPN XFAMIL ADV VPPMS CHIF NMP PREP <eps> PREP DET NMS PPER3FS VERB PREP PROPN PPER3MS PPOBJMS AUX VPPMS ADV DET CHIF NMP PREP PREP PROPN COCO PDEMMS AUX PREP DET NMS ADV	<eps> COSUB PRON AUX DET DET NFP <eps> PROPN XFAMIL ADV VPPMS CHIF NMP PREP PREP PREP DET NMS PPER3FS VERB PREP PROPN PPER3MS PPOBJMS VERB <eps> ADV DET CHIF NMP PREP PREP PROPN COCO PDEMMS AUX <eps> DET NMS ADV	_
1380	ADV DETFS NFS ADJFS ADV ADJFS AUX PDEMMS AUX PDEMMS AUX ADJMS COCO PDEMMS VERB PREP NFS CHIF NFP ADV PROPN XFAMIL AUX DINTFS NFS PREP DETFS NFS ADJFS AUX VPPMS DINTMS NMS PREP NFP	<eps> DETFS NFS ADJFS ADV DET ADJMP DET ADJMP PREF <eps> <eps> <eps> <eps> VERB PREP NFS CHIF NFP ADV PROPN XFAMIL AUX DINTFS NFS PREP DETFS NFS ADJFS AUX VPPMS DINTMS NMS PREP NFP	_
1381	PREP DET PREP DET <eps> DETFS PROPN COCO DET NMP <eps> PREP DET NMP ADV PREP NOUN PINDMS <eps> VERB VERB PREP ADV COSUB PPER1S VERB VERB COCO <eps> DETFS NFS ADJFS AUX ADJMS ADV PREP DETFS NFS PRON AUX DET NFP	PREP DET PREP DET DETMS DETFS PROPN COCO DET NMP ADJMP PREP DET NMP DET <eps> NFS PINDMS PINDMS VERB VERB PREP ADV COSUB PPER1S VERB VERB COCO COCO DETFS NFS ADJFS AUX ADJMS ADV PREP DETFS NFS PRON AUX DET NFP	_
1382	PINDMS AUX VPPMS PROPN XFAMIL PINDMS VERB PROPN XFAMIL XFAMIL XFAMIL COCO PREP PRON COCO PREP ADJMS NMS	PINDMS AUX VPPMS PROPN XFAMIL PINDMS VERB PROPN XFAMIL COCO DINTFS NFS PREP NMS COCO PREP ADJMS NMS	_
1383	PDEMMS AUX ADJMS ADV <eps> DINTFS NFS DINTMS ADV PREP DETFS NFS PREP DET NMP	PDEMMS AUX ADJMS ADV PREP DINTFS NFS DINTMS ADV PREP DETFS NFS PREP DET NMP	_
1384	ADV ADV ADJMP DET NFP PREP NMS PREL ADV VERB PRON PREP VERB PREP PDEMFP ADV DINTMS NMS	ADV ADV ADJMP DET NFP PREP NMS PREL ADV VERB PRON PREP VERB PREP PDEMFP ADV DINTMS NMS	_
1385	DET NFP VERB DINTMS NMS PROPN COCO NMS AUX ADJMS COSUB PDEMMS AUX DINTMS DET NMP PREP DETMS NMS ADV ADV <eps> <eps> VERB PRON AUX <eps> PRON AUX DET ADJMP DET NMP ADV ADJMP PREP PRELMP DET DET NMP VERB DET NFP PREP VERB	PROPN <eps> DINTMS DINTMS NMS PROPN COCO PDEMMS AUX ADJMS COSUB PDEMMS AUX DINTMS DET NMP PREP DETMS NMS ADV VERB DINTFS NFS ADJFS PRON AUX PREP PRON AUX DET ADJMP DET NMP ADV ADJMS PREP PRELMP DET DET NMP VERB DET NFP PREP PROPN	_
1386	ADV PPOBJMS VERB DET NMP PREFP PREP ADV ADV VERB ADV PREP DETMS ADJMS NMS ADV VPPMS DETMS NMS PINDMS VERB PREP PPOBJMS VERB DETFS NFS COCO ADV	PPER3MS PPOBJMS VERB DET NMP <eps> PREP ADV ADV VERB <eps> PREP DETMS ADJMS NMS ADV VPPMS DETMS NMS PINDMS VERB PREP PPOBJMS VERB DETFS NFS COCO ADV	_
1387	DET NMP DETMS NMS DET NMP DETMS NMS PREP DET NMP PROPN AUX ADV ADV PREP DETMS CHIF CHIF NMS PPER3MS PPOBJMS VERB ADV PROPN XFAMIL PREL VERB VERB DETMS NMS ADJMS COCO PREL AUX DINTFS NFS ADV ADJFS	<eps> NMP DETMS NMS DET NMP DETMS NMS PREP DET NMP PROPN AUX ADV ADV PREP DETMS CHIF CHIF NMS PPER3MS PPOBJMS VERB ADV PROPN XFAMIL PREL VERB VERB DETMS NMS ADJMS <eps> PREL AUX DINTFS NFS ADV ADJFS	_
1388	INTJ PPER3MS PPOBJMS VERB DET ADJFP ADJFP NFP PREL PREP DET NFS VERB VERB DET NFS PROPN XFAMIL PPER1S VERB COSUB PRON AUX DET ADJFP NFP PROPN XFAMIL PREL AUX VPPMS PREP PREF VERB ADV PPER3MS VERB DINTMS NMS PREP COSUB PPER3FS VERB DINTFS NFS VERB PPOBJMS PREP DET NMS <eps> PPER3MS PPOBJMS VERB <eps> <eps> <eps> DET ADJFP NFP PREP DET NMS	<eps> PPER3MS PPOBJMS VERB DET ADJFP ADJFP NFP PREL PREP DET NFS VERB VERB DET NFS PROPN XFAMIL PPER1S VERB COSUB PRON AUX DET ADJFP NFP PROPN XFAMIL PREL AUX VPPMS PREP PREF VERB ADV PPER3MS VERB DINTMS NMS PREP COSUB PPER3FP VERB DINTFS NFS VERB PPOBJMS PREP DET NMS ADV PPER3MS PPOBJMS VERB PPER3MS PPOBJMS VERB DET ADJFP NFP PREP DET NMS	_
1389	ADJ PREL VERB DINTMS ADJMS NMS PREP NFS PREP DET NFS ADV PPER3MS PPOBJMS VERB ADV DINTMS NMS <eps> PREP DETMS ADJMS NMS PPER1S VERB ADV COSUB PREFP ADV AUX VPPMS	ADJ PREL VERB DINTMS ADJMS NMS PREP NFS PREP DET NFS ADV <eps> <eps> <eps> ADV DINTMS DINTMS NMS PREP DINTMS ADJMS NMS PPER1S VERB ADV COSUB PREFP ADV AUX VPPMS	_
1390	ADV ADV PPER1S PREFS PPOBJMS VERB PREP PDEMMS NMS NMS	<eps> <eps> PPER1S PREFS <eps> VERB PREP PRON YPFOR <eps>	_
1391	PDEMMS AUX DINTMS NMS PREP ADV PREP NFP PREP DET NFS PREP NFS DET NMP COCO ADV PREP NMS <eps> DINTFS NFS PREP NMS VERB PRON PREL PREFP VERB	<eps> AUX DINTMS NMS PREP ADV PREP NFP PREP DET NFS PREP NFS DET NMP COCO ADV PREP NMS AUX DINTFS NFS PREP NMS VERB PRON PREL PREFP VERB	_
1392	DET NMP ADJMP PREP CHIF CHIF NMP PREL VERB NMS PREP PROPN ADV VERB PREFP CHIF CHIF CHIF PDEMMS AUX VPPMS VERB PREP PROPN ADV AUX ADV DETMS NMS PREP CHIF CHIF CHIF PDEMMS AUX PREP PROPN PRELFS PREP DET CHIF NFP ADV VERB ADV COSUB PPER1S PREFP VERB DETMS NMS VERB DETMS CHIF NMP PREP NFS NMS COCO DETFS NFS PREP DETFS NFS	DET NMP ADJMP PREP CHIF CHIF NMP PREL VERB NMS PREP PROPN PREP <eps> <eps> CHIF NMP CHIF <eps> AUX VPPMS VERB PREP PROPN ADV AUX ADV DETMS NMS PREP CHIF CHIF CHIF PDEMMS AUX PREP PROPN PRELFS PREP DET CHIF NFP ADV VERB ADV COSUB PPER1S PREFP VERB DETMS NMS <eps> DETMS CHIF NMP PREP NFS NMS COCO DETFS NFS <eps> DETFS NFS	_
1393	ADV DETFS NFS PREP DETFS NFS	<eps> DETFS NFS PREP DETFS NFS	_
1394	COCO ADV ADJMS AUX DETMS CHIF NMP PREP NFS NMS <eps> DETFS NFS PREP DETFS NFS AUX DINTFS NFS ADJFS PREP CHIF CHIF NMP COCO DETMS NMS ADJMS ADV	<eps> ADV PDEMMS AUX DETMS CHIF NMP PREP DETMS NMS PREP DETFS NFS PPER3MP AUX NFP ADJFP PROPN ADV PREFP VERB <eps> <eps> <eps> <eps> <eps> <eps> <eps> ADV	_
1395	PDEMMS VERB VERB DET DET NMP PREL PREL VERB ADV DETMS DETMS NMS ADJMS VERB PPER1S VERB COSUB ADV VERB DETMS NMS ADJMS DET DET PROPN <eps>	VERB <eps> VERB DET DET NMP PREL VERB <eps> ADV DETMS DETMS NMS <eps> VERB PPER1S VERB COSUB ADV VPPMS DETMS NMS ADJMS DET DET PROPN PUNCT	_
1396	PDEMMS AUX DINTFS ADJFS NFS ADJFS PRON AUX DET ADV DET NMP DINTMS NMS PREL VERB PREP PREP DETFS NFS PREP VERB DET NMP ADV COSUB DETMS DETFS ADJFS PROPN VERB AUX DINTMS NMS PREP NFS PREP PROPN AUX PREP NFS COCO PINDMS VERB VERB DET PDEMMS PREP CHIF NMP	<eps> AUX DINTFS ADJFS NFS ADJFS PRON AUX DET ADV DET NMP DINTMS NMS PREL VERB PREP <eps> DETFS NFS PREP VERB DET NMP ADV COSUB <eps> DETFS ADJFS NFS ADJFS AUX DINTMS NMS PREP NFS PREP PROPN AUX PREP NFS COCO PINDMS VERB VERB DET PDEMMS PREP CHIF NMP	_
1397	INTJ DETMS NMS PINDMS VERB VERB AUX ADV VERB PROPN XFAMIL PREP AUX VPPMS DET NMP ADJMP PREL PINDMS AUX VPPMS DINTFS NFS PREP ADV PREP CHIF NMP PREP NMP PREP DET NMS COSUB PINDMS VERB COSUB DETMS NMS DET NMP PREP PROPN AUX AUX VPPMS PREP ADV CHIF PREP NMS PREP	INTJ DETMS NMS PINDMS VERB VERB AUX ADV VERB PROPN XFAMIL PREP AUX VPPMS DET NMP ADJMP PREL PINDMS AUX VPPMS DINTFS NFS PREP ADV PREP CHIF NMP PREP NMP PREP DET NMS DETMS PINDMS VERB COSUB DETMS NMS DET NMP PREP PROPN AUX AUX VPPMS PREP ADV CHIF PREP NMS <eps>	_
1398	PINDMS VERB ADV PREP <eps> CHIF COCO CHIF NMP NMP <eps> <eps> <eps> PREP NMP	<eps> VERB ADV PREP PREP CHIF NMP NMS AUX PDEMMS AUX DINTMS NMS PREP NMP	_
1399	VPPMS PREP ADV ADV CHIF NFP ADV COSUB DETFS NFS PREL AUX AUX VPPFS PREP NMS PREP DETFS NFS ADJFS AUX ADJMS COSUB PDEMMS AUX ADV COSUB DINTFS NFS PPER3MS PPOBJMS VERB ADV DET NMP ADJMP PINDMS AUX VPPMS	VPPMS PREP ADV ADV CHIF NFP ADV COSUB DETFS NFS PREL AUX AUX NFS <eps> <eps> <eps> DETFS NFS ADJFS AUX ADJMS COSUB PDEMMS AUX ADV COSUB DINTFS NFS PPER3MS PPOBJMS VERB ADV DET NMP ADJMP PINDMS AUX VPPMS	_
1400	PREP DETMS NMS DINTMS ADJMS NMS PREP NMS PREP ADV	PREP DETMS NMS DINTMS NMS <eps> PREP NMS PREP ADV	_
1401	COCO DETMS DETMS NMS DINTMS NMS PREP DET NFS AUX VPPMS ADV ADJMS AUX ADJMS COSUB DETMS <eps> DET NMP ADV AUX ADJMP	COCO DETMS DETMS NMS DINTMS NMS PREP DET NFS AUX VPPMS ADV ADJMS AUX ADJMS COSUB DETMS NMS DET NMP ADV AUX ADJMP	_
1402	PREP DET NMS DET NMP ADJMP DET <eps> NMP <eps> <eps> PPOBJMP VERB ADV ADV <eps> PREP ADV PREP YPFOR	<eps> DET NMS DET ADJFP DET ADJFP DET NMP ADJ PPER3MS PPOBJMS VERB ADV ADV ADV PREP ADV PREP YPFOR	_
1403	PREP CHIF NMP ADV PREP NMS COSUB PREP ADV VERB DET ADJMS NMS ADJMS	PREP CHIF NMP DINTMS ADJMS NMS COSUB PREP ADV VERB DET ADJMS NMS ADJMS	_
1404	ADV PPER3MS PPOBJMS VERB PREP DETFS NFS DINTFS NFS ADJFS ADJFS PREL VERB COSUB PRON ADV VERB PPOBJFS AUX ADJMS COCO ADV PDEMMS AUX ADJMS COSUB ADV PREP DETMS NMS PINDMS AUX DINTMS ADV ADV PREP DET NMS ADJMS <eps> PPOBJMS <eps> ADV DINTFS NFS ADJFS COCO ADV ADJFS PREP ADV DET NMP ADJMP PREL AUX VPPMS PREP NMS ADJMP <eps>	<eps> PPER3MS PPOBJMS VERB <eps> DETFS NFS DINTFS NFS ADJFS ADJFS PREL VERB COSUB PRON ADV VERB PPOBJFS AUX ADJMS COCO ADV PDEMMS AUX ADJMS COSUB ADV PREP DETMS NMS PINDMS AUX DINTMS ADV ADV PREP DET NMS ADJMS PPER3MS PPOBJMS VERB ADV DINTFS NFS ADJFS COCO ADV ADJMS PREP ADV PREP NMP ADJMP PREL AUX VPPMS PREP NMS PREP NMS	_
1405	AUX PRON PREL PDEMMS VERB VERB DINTMS ADV ADV PREP DETFS NFS ADJFS ADJFS COCO COCO ADJFS ADV VPPFS PREP DETFS NFS	AUX ADV <eps> <eps> <eps> <eps> <eps> ADV ADV NFP ADJFP <eps> <eps> <eps> COCO ADJFP <eps> ADV VPPMP PREP DETFS NFS	_
1406	ADV <eps> <eps> <eps> <eps> <eps> <eps> PPOBJFS PPER1S VERB COSUB ADV COCO PPER1S VERB COSUB ADV <eps> PPOBJMS VERB <eps> PPOBJMS VERB ADV <eps> PPOBJMS VERB DINTFS NFS PREP ADJFS NFS PREL PREL PREL VERB PREP DET NFS	PPOBJFS PPER1S VERB COSUB PDEMMS AUX PREP PPOBJFS PPER1S VERB COSUB ADV COCO PPER1S VERB COSUB ADV PPER3MS PPOBJMS VERB PPER3MS PPOBJMS VERB ADV PPER3MS PPOBJMS VERB DINTFS NFS PREP ADJFS NFS PREL PREL <eps> VERB <eps> DET NFS	_
