1	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
1294	ces combattants se cachent dans des villages non loin de la frontière	ces combattants se cachent dans des villages non loin de la frontière	_
1295	si l' armée libanaise nous attrape elle nous rendra aux hommes de bachar al assad et ils nous tueront assurent ils	<eps> l' armée libanaise nous attrapent elle nous rendra aux hommes de bachar al assad et ils nous tueront assure-t-il <eps>	_
1296	hicham a rejoint l' armée syrienne libre il y a un an le mois dernier il a été blessé par une roquette à homs mais même loin du front il poursuit le combat	hicham a rejoint l' armée syrienne libre il y a un an le mois dernier il a été blessé par une roquette à homs <eps> <eps> <eps> du front <eps> poursuit le combat	_
1297	j' essaie de collecter tout le soutien possible comme des médicaments j' essaie d' aider les autres blessés de l' armée syrienne libre mais dès que j' irai mieux je retournerai en syrie	j' essaie de collecter tout le soutien possible comme des médicaments j' essaie d' aider les autres blessés de l' armée syrienne libre mais dès que j' irai mieux je retournerai en syrie	_
1298	samir lui s' apprête à reprendre les armes il le fait pour défendre sa dignité son peuple et sa religion jusqu' ici le rapport de force avec l' armée régulière était déséquilibré mais les choses changent cet <eps> insurgé le sent	samir lui s' apprête à reprendre les armes il le fait pour défendre sa dignité sont peuplés <eps> sa religion jusqu' ici le rapport de force avec l' armée régulière était déséquilibrée mais les choses changent s' est insurgé leçon <eps>	_
1299	on ressemble de plus en plus à une armée officielle une armée syrienne libre officielle mieux organisée avec plus d' armes on a les armes de ceux qui ont quitté l' armée régulière pour nous rejoindre et on prend celles des soldats que l' on bat	<eps> ressemble de plus en plus à une armée officielle l' armée syrienne libre officielle <eps> organisée avec plus d' armes <eps> <eps> les armes de ce qui a quitté l' armée régulière pour nous rejoindre <eps> on prend celle de soldats collombat <eps> <eps> <eps>	_
1300	ces rebelles ne se font pas d' illusion la bataille va être longue en cas de victoire ils récupèreront une syrie en ruine mais peu importe de vivre dans des tentes jurent ils tant que bachar al assad est parti	<eps> rebelles ne se font pas d' illusions la bataille va être longue en cas de victoire ils récupéreront une scierie en ruine mais peu importe de vivre dans des tentes gentile <eps> tant que bachar el assad est parti	_
1301	reportage de laetitia soudy et de quentin baulier en syrie <eps> la météo pour demain matin	reportage <eps> laetitia soudy et de quentin boli en syrie et la météo pour demain matin	_
1302	demain matin arrivée de la dégradation orageuse de l' aquitaine à la région lilloise encore du soleil en allant plus à l' est les températures ne baisseront pas	<eps> matin arrivée de la dégradation orageuse de l' aquitaine à la région lilloise encore du soleil en allant plus à l' est les températures ne baisseront pas	_
1303	franchement en matinée seize degrés pour brest dix huit à lille et aurillac il fera vingt degrés à bourges et vingt deux degrés ce sera pour paris et pour nice	<eps> en matinée seize degrés pour brest dix huit à lille et aurillac il fera vingt degrés à bourges et vingt deux degrés ce sera pour paris et pour nice	_
1304	profitons en avant l' arrivée des orages thomas on vous retrouve à dix huit heures trente gros bug au sénat ce matin	onze ans avant l' arrivée des orages demain on vous retrouve à dix huit heures trente gros bogue au sénat ce matin	_
1305	nous sommes avec le sénateur jean vincent placé qui est le président	nous sommes avec le sénateur jean-vincent <eps> placé qui est le président	_
1306	du groupe écologiste au sénat bonsoir vous êtes en direct du sénat merci d' être avec nous dans bfm story alors gros bug parce que le	du groupe écologiste au sénat bonsoir vous êtes en direct du sénat merci d' être avec nous dans bfm story alors gros ben vous lorsque le	_
1307	le sénat a retoqué par surprise ce matin le durcissement des droits de succession voulu	<eps> sénat <eps> retoqué par surprise ce matin le durcissement des droits de succession voulu	_
1308	par le gouvernement par la majorité c' est un amendement du groupe ump qui en fait a été adopté car visiblement les élus de la majorité dont vous faites partie n' étaient pas assez nombreux et ce sont les sénateurs écologistes qui ont fait défaut c' est ça	par le gouvernement par la majorité c' est un amendement du groupe ump qui en fait a été adopté car visiblement les élus de la majorité dont fait <eps> partie n' était pas assez nombreux et ce sont les sénateurs écologistes qui ont fait défaut c' est ça	_
1309	non (n) bon je comprends que en ce vingt six juillet entre le tour de france et les jeux olympiques vous ayez le souci du titre donc du gros bug	<eps> <eps> bon je comprends que en ce vingt six juillet entre le tour de france et <eps> jeux olympiques vous ayez le souci du titre donc du gros bugs	_
1310	mais c' est plutôt un petit incident de de séance comme il en arrive très souvent	mais c' est plutôt un petit incident de <eps> séance comme il en arrive très souvent	_
1311	vous savez nous siégeons matin midi et soir il est probable que on vote dans la nuit vers deux trois heures du matin ce	vous savez nous siégeons matin midi et soir il est probable que on vote dans la nuit vers deux trois heures du matin se	_
1312	ce vingt six et vingt sept juillet et la réalité c' est que il y a eu un petit incident matériel qui a inversé	<eps> vingt six et vingt sept juillet et la réalité c' est que il y a eu un petit incident matériel qui a inversé	_
1313	pour ce matin sur une disposition importante évidemment du collectif budgétaire	<eps> ce matin sur une disposition importante évidemment du collectif budgétaire	_
1314	le le rapport de force si j' ose dire au au sénat	le le rapport de force si j' ose dire au au sénat	_
1315	mais la majorité sénatoriale rétablira cette disposition qui est forte	<eps> la majorité sénatoriale rétablira cette disposition qui est forte	_
1316	présentée dans le collectif budgétaire par pierre <eps> pierre moscovici et jérôme cahuzac et nous sommes	<eps> dans le collectif budgétaire repart obtient son pierre moscovici et jérôme cahuzac est nous sommes	_
1317	tout à fait résolus au niveau de la majorité sénatoriale à soutenir le gouvernement	<eps> à fait résolue au niveau de la majorité sénatoriale à soutenir le gouvernement	_
1318	sur l' ensemble des dispositifs qui remettent en cause la politique fiscale	<eps> l' ensemble des dispositifs qui remet en cause la politique fiscale	_
1319	de la majorité précédente et qui mettent plus de justice et plus d' équilibre	<eps> <eps> majorité précédente et qui met plus de justice et plus d' équilibre	_
1320	dans la nécessité de renflouer nos nos finances publiques qui ont été fortement malmenées	<eps> la nécessité de renflouer nos nos finances publiques qui ont été fortement malmenées	_
1321	dans le quinquennat précédent donc vous voyez	<eps> le quinquennat précédent dont vous voyez	_
1322	très petit incident qui n' a pas de de portée particulière et qui fait en sorte que mardi à la fin de la session après la commission mixte paritaire les	<eps> petit incident qui n' a pas de de porter particulières et qui fait en sorte que mardi à la fin de la session après la commission mixte paritaire les	_
1323	le collectif budgétaire sera en ordre et <eps> sera en possibilité de fournir ces sept milliards que nous avons dont nous avons besoin pour boucler le budget deux mille douze	le collectif budgétaire sera en ordre et il sera en possibilité de fournir ses sept milliards que nous avons dont nous avons besoin pour boucler le budget deux milles douze	_
1324	petit incident mais sur une disposition qui attaque le pouvoir d' achat des classes moyennes c' est ce que dit l' opposition (n) qui	petit incident mais sur une disposition qui attaque le pouvoir d' achat des classes moyennes c' est ce que dit l' opposition à qui	_
1325	explique en fait que vous voulez baisser vous voulez baisser à cent mille donc le le plafond pour les droits de succession et ça touche les classes moyennes ça touche les familles cons(tituer) constituer un patrimoine à transmettre à leurs enfants	explique en fait que nous voulons baisser les <eps> baisser à cent milles donc le le plafond pour les droits de succession et ça touche les classes moyennes sa toute famille corse constitue <eps> un patrimoine mais transmettre à leurs enfants	_
1326	je je crois que je crois que nous n' avons pas tout à fait la même vision des des classes moyennes	et je crois que je crois que nous n' avons pas tout à fait la même vision des des classes moyennes	_
1327	je sais pas vous mais moi mais qui peut aujourd'hui pouv() pour faire un don	je sais pas vous aimez mois mais qui peut aujourd' hui pouvoir faire un don	_
1328	de cent cinquante mille euros parce que c' est ça la disposition précédente nette d' impôt si j' ose dire	deux cents cinquante milles euros parce que c' est sa <eps> disposition précédente net d' impôts si j' ose dire	_
1329	là nous baissons cela à cent mille euros c' <eps> est déjà quand même assez significatif cent mille euros	<eps> nous besson cela <eps> cent milles euros ce qui est déjà quand même assez significatif cent milles euros	_
1330	vous voyez la situation du pays la situation de l' emploi la situation du pouvoir d' achat	vous voyez la situation du pays la situation de l' emploi la situation du pouvoir d' achat	_
1331	donc très sincèrement la disposition précédente était cent cinquante mille euros tous les dix ans	<eps> très sincèrement la disposition précédente était cent cinquante milles euros tous les dix ans	_
1332	nous disons cent mille euros tous les quinze ans j' ai très sincèrement <eps> l' impression que ce ne sont pas les classes moyennes qui vont	<eps> disons cent milles euros tous les quinze ans j' ai très sincèrement a l' impression que ce ne sont pas les classes moyennes qui vont	_
1333	qui vont payer pour la justice sociale pour la redistribution qui est nécessaire dans notre pays avec monsieur sarkozy les très riches les très grands propriétaires	qui vont payer pour la justice sociale pour la redistribution qui est nécessaire dans notre pays avec monsieur sarkozy les très riches les très grands propriétaires	_
1334	les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche <eps> les écologistes <eps> voulons revenir là dessus	les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche sur les écologistes nous voulons revenir là dessus	_
1335	parce que nous avons besoin bien sûr de faire des efforts mais pour que les françaises et les français puissent faire des efforts	ce que nous avons besoin bien sûr de faire des efforts <eps> pour que les français <eps> les français puissent faire des efforts	_
1336	il faut que les efforts soient réellement partagés par celles et ceux qui en ont les moyens	<eps> faut que les efforts soient réellement partagés par celles et ceux qui en ont les moyens	_
1337	mais il y a pas comme un malaise au sein de la majorité parce que ça commence à faire beaucoup les heures sup refiscalisées <eps>	mais <eps> <eps> <eps> pas comme un malaise au sein de la majorité parce que ça commence à faire beaucoup les heures sup pour fiscaliser	_
1338	les droits de succession durcis on parle maintenant d' une csg	les droits de succession durci on parle maintenant d' une csg	_
1339	qui serait également alourdie pour deux mille treize sans compter également l' isf mais aussi les soixante quinze pour cent trop d' impôt tue l' impôt	qui sera également alourdie pour deux milles treize sans compter également l' isf mais aussi les soixante quinze pour cent trop d' impôts tue l' impôt	_
1340	mais j' espère que vous ne croyez pas que nous faisons ça cela de gaieté de coeur	<eps> j' espère que vous ne croyez pas que nous faisons ça cela de gaieté de coeur	_
1341	nous sommes arrivés avec une situation plombée comme on dit de façon triviale les prévisions de recettes ne sont pas ce qu' elles étaient les prévisions de croissance ne sont pas ce qu' elles étaient	<eps> sommes arrivés avec une situation plombé comme on dit de façon trivial les prévisions de recettes ne sont pas ce qu' elles étaient les prévisions de croissance ne sont pas si <eps> elles étaient	_
1342	et évidemment lorsque en plein été on fait sept milliards de recettes fiscales supplémentaires pour boucler le budget deux mille douze	<eps> évidemment lorsque en plein été ont fait sept milliards de recettes fiscales supplémentaires pour boucler le budget deux milles douze	_
1343	et nous aurons l' occasion de parler des réformes nécessaires de la fiscalité pour que elles soient mieux réparties c' est à dire que ça soit les grands patrimoines les grandes sociétés	<eps> nous aurons l' occasion de parler des réformes nécessaires de la fiscalité pour que soit <eps> mieux répartie c' est-à-dire <eps> <eps> que ça soit les grands patrimoines les grandes sociétés	_
1344	les grands revenus qui payent plutôt que ce soit les plus modestes je sais pas si vous imaginez parce que vous parlez de quelques dispositions mais vous oubliez de dire que nous faisons une contribution exceptionnelle sur l' impôt sur les grandes fortunes on se rend compte aujourd'hui <eps>	les grands revenus qui paye plutôt que ce soit les plus modestes je sais pas si vous imaginer parce que vous parlez de quelques dispositions mais vous oubliez de dire que nous faisons une contribution exceptionnelle sont l' impôt sur les grandes fortunes on se rend compte aujourd' hui	_
1345	que il y a un an l' idée de monsieur sarkozy était d' augmenter la tva	<eps> il y a un an l' idée de monsieur sarkozy était d' augmenter la tva	_
1346	dite sociale <eps> que nous abrogeons pour ne pas que justement elle pénalise de douze milliards <eps> la consommation et nous freinons <eps> effectivement deux milliards trois par exemple	se dit social que nous abrogerons pour ne pas que justement elle pénalise de douze milliards à la consommation et nous ferons non effectivement millar <eps> trois par exemple	_
1347	sur les grandes fortunes celles et ceux qui possèdent plus d' un million trois de patrimoine	<eps> les grandes fortunes celles et ceux qui possède plus d' un million trois de patrimoine	_
1348	donc vous voyez que la politique fiscale du gouvernement que les écologistes tousenon soutenons totalement	<eps> vous voyez que la politique fiscale du gouvernement que les écologistes selon soutenons totalement	_
1349	elle est cohérente elle est stratégique elle est bien plus juste que celle évidemment de nos prédécesseurs	les <eps> cohérente et les stratégique elle est bien plus jusque <eps> celle évidemment de nos prédécesseurs	_
1350	en un mot le le texte sur les droits de succession sera revoté rapidement	<eps> un mot le le texte sur les droits de succession sera revoter rapidement	_
1351	oui ce soir et mis en place par la commission mixte paritaire c' est à dire la réunion des représentants de l' assemblée nationale et du sénat la semaine prochaine et ce sera le texte gouvernemental qui s' appliquera bien évidemment	oui ce soir et mis en place par la commission mixte paritaire c' est-à-dire <eps> <eps> la réunion des représentants de l' assemblée nationale et du sénat la semaine prochaine <eps> ce sera le texte gouvernemental qui s' appliquera bien évidemment	_
1352	merci jean vincent placé merci d' avoir été en direct ce soir sur bfm tv <eps> bfm story et les jo bien entendu puisque nous sommes maintenant	merci jean-vincent <eps> placé merci d' avoir été en direct ce soir sur bfm tv dans bfm story et les gyaw bien entendu puisque nous sommes maintenant	_
1353	à vingt quatre heures de la cérémonie d' ouverture et nous sommes à londres avec ronald guintrange comme tous les soirs bonsoir ronald la flamme olympique parcourt en ce moment même les rues de londres	a vingt quatre heures de la cérémonie d' ouverture et nous sommes à londres avec ronald tranche comme tous les soirs bonsoir onal la flamme olympique parcours en ce moment même les rues de londres	_
1354	oui et il fait déjà chaud dans les rues de londres et je peux vous dire olivier que <eps> la température est très clairement en train de monter une raison à cela un mot plutôt flamme <eps> <eps> en français torch en anglais cette flamme olympique qui a entamé	oui <eps> il fait déjà chaud dans les rues de londres et je peux vous dire olivier clés à la température est très clairement en train de monter une raison à cela un monde plutôt de aux flammes en français torche en anglais cette flamme olympique qui a entamé	_
1355	son périple de plus de treize mille kilomètres c' était le dix mai à olympie en grèce c' est la tradition évidemment	son périple depuis <eps> <eps> treize milles kilomètres c' était le dix mai à olympie en grèce et <eps> la tradition évidemment	_
1356	huit mille relayeurs se sont succédé depuis et depuis quelques jours elle fait le tour des quartiers de londres	milles <eps> relayeurs se sont succédé depuis <eps> depuis quelques jours elle fait le tour des quartiers de londres	_
1357	je suis actuellement à piccadilly circus c' est un des hauts lieux du tourisme de la capitale britannique et vous le voyez sur ces images de florence hier <eps> <eps> <eps> des milliers de personnes qui sont rassemblées sur	je suis actuellement à piccadilly circus et d' un des hauts lieux du tourisme de la capitale britannique et vous le voyez sur ces images de florence puis il y a des milliers de personnes qui sont rassemblés sur	_
1358	de cette flamme qui aujourd'hui <eps> en plus va passer par des endroits assez symboliques de tout ce qui peut se passer à londres il y a eu l' abbaye de westminster un peu plus tôt avec big ben il y a eu	<eps> cette flamme qui aujourd' hui en plus va passer par des endroits assez symbolique de tout ce qui peut se passer à londres il y a eu l' abbaye de westminster un peu plus tôt avec big ben il y a eu	_
1359	le dix downing street la résidence du premier ministre britannique david cameron mais le moment fort olivier très clairement nous sommes en grande bretagne et bien ce sera dans un heure on le vivra ensemble sur bfm tv la flamme olympique va passer	<eps> dix downing street la résidence du premier ministre britannique david cameron mais le moment fort olivier très clairement nous sommes en grande bretagne et bien ce sera dans une heure on le vivre ensemble sur bfm tv la flamme olympique va passer	_
1360	devant le palais de buckingham et on annonce la présence juste cela de du couple princier william et kate <eps> qui se sont mariés il y a un peu plus d' un an et qui avait salué la foule devant des centaines de milliers de personnes c' était là déjà	devant le palais de buckingham et on annonce la présence juste cela de du couple princier william et qu' est-ce qui se sont mariés il y a un peu plus d' un an et qui avait salué la foule devant des centaines de milliers de personnes s' étaient <eps> déjà	_
1361	devant le palais de buckingham alors je vous le disais <eps> quarante cinq kilomètres aujourd'hui <eps> de parcours pour la flamme olympique dans les rues de londres et plusieurs personnalités se sont succédé évidemment ces fameux	devant le palais de buckingham alors je vous le dis à quarante cinq kilomètres aujourd' hui de parcours pour la flamme olympique dans les rues de londres et plusieurs personnalités se sont succédé évidemment ces fameux	_
1362	relayeurs pour qui c' est évidemment un honneur de porter cette flamme alors parmi ces porteurs aujourd'hui <eps> j' en ai noté trois un assez anecdotique mais c' est quand même important c' est un donateur il s' appelle james atherton	relayeur pour qui c' est évidemment un honneur de porter cette flamme alors parmi ces porter aujourd' hui j' en ai acheté trois un assez anecdotique mais c' est quand même important c' est un donateur il s' appelle james atherton	_
1363	et <eps> lui il a donné dix millions de dollars à un hospice l' hospice de yorkshire <eps> donc pour le récompenser (n) on lui a offert quelques mètres avec la flamme olympique il y a également le prince philippe du danemark	est à lui la donner <eps> dix millions de dollars à un auspices le auspices de york fire donc pour le récompenser dans l' ue <eps> offert quelques mètres avec la flamme olympique il y a également le prince philip du danemark	_
1364	alors ces les <eps> <eps> quelques hectomètres qu' il va <eps> faire avec la la flamme ça l' a pas vraiment impressionné puisque c' est un marathonien il a fait le marathon	c' est les les les quelques hectomètres qui <eps> va le faire avec la la flamme ça l' a pas vraiment impressionné puisque c' est un marathonien il a fait le marathon	_
1365	de londres de new york et de paris et puis il y a eu une petite <eps> <eps> <eps> l' indien lakshmi mittal industriel évidemment qui a porté la flamme et certains ont estimé qu' avec les plans sociaux à l' origine desquels ils se trouvait	<eps> londres de new york et de paris et puis il y a eu le petit mais plus tard l' indien lakshmi mittal industrielle évidemment qui a porté la flamme et certains ont estimé qu' avec les plans sociaux à l' origine desquelles il se trouvait	_
1366	n' avait pas grand chose à voir avec l' esprit olympique et puis la situation de crise économique qui touche <eps> l' ensemble de l' europe	<eps> avait pas grand-chose <eps> à voir avec l' esprit olympique et puis la situation de crise économique qui touche à l' ensemble de l' europe	_
1367	quarante cinq kilomètres dans quelques instants ici à piccadilly dix huit heures vingt dix huit heures trente devant buckingham palace et la fin de ce périple en tout cas pour aujourd'hui <eps> avant d' arriver demain au stade olympique ce sera à hyde park l' un des grands parcs londoniens et là il y aura un concert	quarante cinq kilomètres dans quelques instants ici à piccadilly dix huit heures vingt dix huit heures trente devant buckingham palace est la fin de ce périple en tout cas pour aujourd' hui avant d' arriver demain au stade olympique ce sera à hyde park l' un des grands parcs londoniens <eps> <eps> il y aura un concert	_
1368	géant pour fêter l' événement nous y serons bien sûr	géant pour fêter l' événement nous y serons bien sûr	_
1369	oui (n) écoutez ronald on vous retrouve donc si j' ai bien compris dans un heure et quart un peu moins avec harry william et kate <eps> vous serez à côté	oui ben écoutez renâcle on vous retrouve donc si j' ai bien compris dans une heure et quart un peu moins avec harry <eps> et william beckett vous serez à côté	_
1370	et la flamme sera présentée à ce moment là à buckingham palace donc à tout à l' heure ronald guintrange <eps> <eps> <eps> en direct de londres qui nous fait vivre donc cet <eps> avant jo (n) les la cérémonie cérémonie d' ouverture c' est bien sûr demain soir	<eps> la flamme sera présentée à ce moment-là <eps> à buckingham palace donc à tout à l' heure on a le gain tranche en direct de londres qui nous fait vivre donc c' est avant <eps> <eps> les cérémonies une cérémonie d' ouverture c' est bien sûr demain soir	_
1371	vingt deux heures heure française mais la compétition a démarré déjà avec notamment le football féminin hier la presse française aux	vingt deux heures heure française mais la compétition a démarré déjà avec notamment le football féminin hier la presse française <eps>	_
1372	couleurs des jeux olympiques c' est le cas du nouvel obs(ervateur) cette semaine spéciale jo <eps> de londres	couleurs des jeux olympiques c' est le cas du nouvel obs cette semaine spécial j o de londres	_
1373	les atouts france en partenariat avec bfm tv renaud dely bonsoir vous le connaissez bien renaud à priori il parle plutôt politique mais on va parler sport ensemble directeur de la rédaction du nouvel obs(ervateur) alors c' est vrai on peut ne c' est difficile de passer à côté de cet événement qui revient tous les quatre ans	atout <eps> france en partenariat avec bfm tv renaud dély bonsoir vous <eps> connaissez bien renault a priori <eps> parle plutôt politique mais enfin <eps> <eps> sport ensemble directeur de la rédaction du nouvel obs alors c' est vrai on peut ne c' est difficile de passer à côté de cet événement qui revient tous les quatre <eps>	_
1374	(n) les jeux olympiques c' est un événement à nul autre pareil alors évidement ça renvoie en plus il y a une dimension historique mythique enfin ça renvoie aux jeux d' athènes et et	<eps> les jeux olympiques c' est un événement un nul autre pareil évidemment <eps> ça renvoie en plus il y a une dimension historique mythique <eps> ça renvoie aux jeux d' athènes et et	_
1375	et à la grèce antique et puis là en l' occurrence ce sont les trentième olympiades modernes	est à la grèce antique et puis là en l' occurrence ce sont les trentième olympiades modernes	_
1376	et c' est vrai que c' est un événement au niveau de paris on parle du fameux esprit olympique on en parlait à l' instant c' est vrai que à une période où on a vu y compris encore récemment (n) parfois des dérives du foot business qui est le sport le plus riche	<eps> c' est vrai que c' est un événement au niveau de paris on parle du fameux esprit olympique on en parlait à l' instant c' est vrai que à une période où on a vu y compris encore récemment un parfois des dérives du foot business qui est le sport le plus riche	_
1377	et de loin de de la planète (n) il reste quelque chose il faut pas être naïf <eps> ce sont des professionnels et de grands sportifs qui vont aux jeux olympiques mais il reste quand même quelque chose de cet esprit olympique notamment à travers un sport aussi particulier que la natation sur laquelle on on se penche <eps> en particulier	et de loin de de la planète ben il reste quelque chose il faut pas est naïf un ce sont des professionnels et de grands sportifs qui vont aux jeux olympiques mais il reste quand même quelque chose <eps> cet esprit olympique notamment à travers un sport aussi particulier que la natation sur laquelle on on se penche oui en particulier	_
1378	vous titrez c' est un artisanat français donc là on est loin par exemple du du du du foot business	titré <eps> c' est un artisanat français donc là on est loin par exemple du du du <eps> foot business	_
1379	même si ce sont des des stars (n) laure manaudou bien entendu huit ans a(près) <eps> après l' or elle revient à londres il y a eu aussi les six médaillés de de pékin mais c' est de l' artisanat encore	<eps> si ce sont des des stars <eps> laure manaudou bien entendu huit ans à à après l' or elle revient à londres il y a <eps> aussi les six médaillés de de pékin mais c' est <eps> l' artisanat encore	_
1380	(n) la natation française déjà c' est c' est c' est récent (n) ça fait à peine deux olympiades effectivement laure manaudou était une pionnière en la matière c' est devenu un gisement de médailles	<eps> la natation française déjà ces ces ces récents se <eps> <eps> <eps> <eps> fait à peine deux olympiades effectivement laure manaudou était une pionnière en la matière c' est devenu un gisement de médailles	_
1381	pour les pour les <eps> la france et des des <eps> dans quelques jours tout de suite on <eps> va commencer par là si j' ose dire et <eps> la natation c' est vrai qu' à la fois ce sont des stars	pour les pour les le la france et des des des dans quelques jours toute <eps> suite on on va commencer par là si j' ose dire et et la natation c' est vrai qu' à la fois ce sont des stars	_
1382	on a eu alain bernard on a camille lacourt yannick agnel et d' autres et en même temps	on a eu alain bernard on a camille lacourt et une cagnotte de haut et en même temps	_
1383	c' est symptomatique justement <eps> une formation un peu à la française avec des bassins	c' est symptomatique justement d' une formation un peu à la française avec des bassins	_
1384	très quasi amateurs des conditions d' entraînement qui n' ont rien à voir avec celles justement du du	très quasi amateurs des conditions d' entraînement qui n' ont rien à voir avec celles justement du du	_
1385	des stars du du foot business et c' est vrai que c' est un des sports comme le judo aussi (n) <eps> <eps> voilà ce sont <eps> ce sont des des des sports typiquement olympiques dans lesquels les les français ont quelques chances de briller	star <eps> du du foot business et c' est vrai que c' est un des sports comme le judo aussi hein une heure voilà ce sont de ce sont des des des sports typiquement olympique dans lesquels les les français ont quelques chances de brive	_
1386	alors y a les rendez vous à ne pas manquer (n) dans le nouvel obs(ervateur) bien entendu le judo on vient d' en parler la natation mais aussi	il y a les rendez-vous <eps> à ne pas manquer <eps> dans le nouvel obs bien entendu le judo on vient d' en parler la natation mais aussi	_
1387	les experts le show des experts le handball chez les hommes c' est assez rapidement dès le vingt neuf juillet il y aura également laura flessel qui va porter le drapeau olympique et qui est une personnalité plutôt sympathique	<eps> experts le show des experts le handball chez les hommes c' est assez rapidement dès le vingt neuf juillet il y aura également laura flessel qui va porter le drapeau olympique <eps> qui est une personnalité plutôt sympathique	_
1388	voilà il y a quelques grandes anciennes figures qui en quelque sorte vont tirer leur révérence laura flessel je crois que ce sont ses quatrièmes olympiades laure manaudou qui a réussi à se qualifier alors il faudra un miracle pour qu' elle obtienne une médaille souhaitons lui en tout cas <eps> il y a <eps> <eps> <eps> des grandes figures de l' olympisme	<eps> il y a quelques grandes anciennes figures qui en quelque sorte vont tirer leur révérence laura flessel je crois que ce sont ses quatrièmes olympiades laure manaudou qui a réussi à se qualifier alors il faudrait un miracle pour qu' elles obtiennent une médaille souhaitons lui en tout cas donc il y a il y a des grandes figures de l' olympisme	_
1389	français qui font un dernier tour de piste en quelque sorte puis il y a aussi un quizz <eps> dans le nouvel obs(ervateur) je sais pas si vous l' avez fait	français qui font un dernier tour de piste en quelque sorte puis <eps> <eps> <eps> aussi un un quiz dans un nouvel abri je sais pas si vous l' avez fait	_
1390	pas encore je me le réserve pour ce week end	<eps> <eps> je me <eps> réserve pour ce week-end <eps>	_
1391	c' est un jeu avec beaucoup de questions sur l' histoire l' histoire des jeux et puis par exemple <eps> une question au hasard est ce que vous savez	<eps> est un jeu avec beaucoup de questions sur l' histoire l' histoire des jeux et puis par exemple est une question au hasard est ce que vous savez	_
1392	aux jeux olympiques de mille neuf cents qui avaient lieu à paris (n) souvenez vous deux mille douze ça a failli être à paris c' est pas le cas en mille neuf cents c' était à paris laquelle de ces trois épreuves n' existaient pas si je vous dis le cerf volant le cinquante mètres à cloche pied et la pêche à la ligne	aux jeux olympiques de mille neuf cent qui avait lieu à paris en <eps> <eps> deux milles douze <eps> a failli être à paris c' est pas le cas en mille neuf cents c' était à paris laquelle de ces trois épreuves n' existaient pas si je vous dis le cerf-volant <eps> le cinquante mètres à cloche pied et la pêche <eps> la ligne	_
1393	alors la pêche à la ligne	<eps> la pêche à la ligne	_
1394	et non c' était le cinquante mètres à cloche pied <eps> la pêche à la ligne était une épreuve olympique en mille neuf cents et le cerf volant aussi	<eps> non c' était le cinquante mètres avec le pied de la pêche ils étaient épreuves olympiques bolloré aussi nous voulons <eps> <eps> <eps> <eps> <eps> <eps> <eps> aussi	_
1395	ça pourrait privilégier les les chinois qui qui aiment bien le le cerf volant tiens je voudrais quand même interroger le journaliste politique les les jo <eps>	pourraient <eps> privilégier les les chinois qui aime <eps> bien le le cerf-volant <eps> tiens je voudrais quand même interrogé le journaliste politique les les j o	_
1396	c' est une grande messe sportive ce sont les aussi les jeux du cirque qui permettent à à la population d' oublier ses tracas parce que le la grande bretagne c' est un pays en crise l' europe est en crise et on va oublier tout ça pendant quinze jours	<eps> est une grande messe sportive ce sont les aussi des jeux du cirque qui permet à <eps> la population d' oublier ces tracas parce que <eps> la grande bretagne c' est un pays en crise l' europe est en crise et on va oublier tout ça pendant quinze jours	_
1397	oui au passage on peut peut être finalement remercier bertrand delanoë d' avoir perdu les jeux olympiques puisque on a fait une économie de plus de dix milliards d' euros en l' occurrence (n) on sait que le coût des jeux de londres a été multiplié par presque quatre par rapport au	oui au passage on peut peut est finalement remercier bertrand delanoë d' avoir perdu des jeux olympiques puisque on a fait une économie de plus de dix milliards d' euros en l' occurrence le on sait que le coût des jeux de londres a été multiplié par presque quatre par rapport <eps>	_
1398	on parle même de <eps> quatorze ou quinze mi(lliards) milliards <eps> <eps> <eps> d' euros	<eps> parle même de de quatorze voilà c' est c' est un milliard d' euros	_
1399	fait à peu près quatre fois plus que la facture qui avait été annoncée au moment de la compétition c' est vrai que c' est aussi maintenant une industrie il y a aussi des enjeux politiques on a vu	fait à peu près quatre fois plus que la facture qui avait été invention <eps> <eps> <eps> la compétition c' est vrai que c' est aussi maintenant une industrie il y a aussi des enjeux politiques on a vu	_
1400	par le passé un certain nombre de boycott d' ailleurs	par le passé un ensemble <eps> de boycott d' ailleurs	_
1401	mais le le temps du boycott en quelque sorte est passé maintenant c' est vrai que le <eps> les jeux maintenant sont ouverts	mais le le temps du boycott en quelque sorte est passé maintenant c' est vrai que le le les jeux maintenant sont ouverts	_
1402	à l' ensemble des des des des <eps> pays <eps> <eps> y a plus aujourd'hui <eps> d' ailleurs de de	<eps> l' ensemble des des des des des pays bas il y a plus aujourd' hui d' ailleurs de de	_
1403	de d' adhérents (n) au cio que à n' importe quel autre organisme international	de d' adhérents un au cio que à n' importe quel autre organisme international	_
