BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	DANS SON ÉPOUSE BERRU CEBER FEMME SOURIRE EN DIRECT JUSQU'À DIX NEUF HEURES
DE CETTE TRISTE ET TERRIBLE NOUVELLE JE REMERCIE JEAN LUC JE LUI SUIS SURTOUT EXTRÊMEMENT RECONNAISSANTE DE TOUT CE QU' IL A BIEN VOULU M' APPORTER CAR BÉNÉFICIER	DE CETTE TRISTE ET TERRIBLE NOUVELLE JE REMERCIE JEAN LUC JE LUI SUIS SURTOUT EXTRÊMEMENT RECONNAISSANT DE TOUT CE QU'IL A BIEN VOULU M' APPORTER CARRÉ BÉNÉFICIE
DE DES CONSEILS DE JEAN LUC TRAVAILLER AVEC LUI ET EFFECTIVEMENT ÊTRE PLONGÉE DANS LE GRAND BAIN DE LA TÉLÉVISION AVEC AVEC LES PRIMES DU SAMEDI SOIR SUR TF1 TEL QUE STAR À DOMICILE C' ÉTAIT UNE ÉCOLE MERVEILLEUSE ET C' ÉTAIT UNE CHANCE DE RENCONTRER UN PROFESSIONNEL TEL QUE LUI	DE DES CONSEILS DE JEAN LUC TRAVAILLAIENT AVEC LUI ET EFFECTIVEMENT ÊTRE PLONGÉS DANS LES GRANDS BAINS DE LA TÉLÉVIS LES ÉCOLES MERVEILLEUSES ET C'ÉTAIT UNE CHANCE DE RENCONTRER UN PROFESSIONNEL TEL QUE LUI
OUI MAIS VOUS ÉTIEZ AUSSI L' UN DES TÉMOINS PRIVILÉGIÉS PEUT ÊTRE DES EXCÈS DE JEAN LUC DELARUE MAIS COMME IL S' AGISSAIT DE JEAN LUC DELARUE	VOUS ÉTIEZ AUSSI L'UN DES TÉMOINS PRIVILÉGIÉ PEUT ÊTRE DES EXCÈS DE JEAN LUC DE LA RUMÉ COMME IL S'AGISSAIT DE JEAN LUC DE LA RUE
SURTOUT ON NE DISAIT RIEN IL Y AVAIT UNE OMERTA UNE COMPLAISANCE VIS À VIS DE JEAN LUC DELARUE PAS FAIRE DE VAGUES PARCE QUE C' ÉTAIT LA TOUTE PUISSANCE ON NE POUVAIT RIEN LUI REPROCHER FLAVIE FLAMENT	SURTOUT ON DYSERIA Y AVAIT UNE HOMMAIRE À UNE COMPLAISANCE VIS À VIS DE JEAN LUC DE LA RUE PAS FAIRE DEVAL PARCE QUE C'ÉTAIT LA TOUTE PUISSANTE VIS À VIS DE JEAN LUC DE LA RUE PASFERRE DEVAL PARCE QUE C'ÉTAIT LA TOUTE PUISSANCE ON POUVAITRIA LUI REPROCHAIT FAMI FLAMAND
NON C' EST SURTOUT QUE MOI JE N' AVAIS RIEN À LUI REPROCHER DONC SI VOUS VOULEZ PARLER DE ÇA AVEC MOI JE NE SUIS PAS LA BONNE PERSONNE D' ABORD L' IMAGE QUE JE GARDE DE JEAN LUC C' ÉTAIT UN TRÈS GRAND PROFESSIONNEL QUI A VÉRITABLEMENT	NON C EST SURTOUT DE MOI JE N AVAIS RIEN À LUI REPROCHER DONT SI VOUS VOULEZ PARLER DE ÇA AVEC MOI JE NE SUIS PAS LA BONNE PERSONNE D ABORD L IMAGE QUE JE GARDE DE JEAN LUC C ÉTAIT UN TRÈS GRAND PROFESSIONNEL QUI A VÉRITABLEMENT
RÉVOLUTIONNÉ LA TÉLÉVISION JE PENSE QUE IL Y A EU UNE ÈRE DELARUE LES ANNÉES QUATRE VINGT DIX ET PUIS APRÈS LES ANNÉES LES ANNÉES DEUX MILLE JE PENSE QUE C' EST UNE DES	RÉVOLUTIONNÉ À LA TÉLÉVISION JE PENSE QUE IL Y A UNE AIRE DE LA RUE LES ANNÉES DE MIL JE PENSE QUE C'EST UNE DES
PERSONNES ET DES SEULES PERSONNES QUI A COMPRIS UN JOUR QUE IL FALLAIT FAIRE PARLER LES ANONYMES ET NON PAS PARLER À LEUR	PERSONNE ET DES SEULES PERSONNES QUI A COMPRIS UN JOUR QUE IL FALLAIT FAIRE PARLER LES ANONYMES MAIS N'ONT PAS PARLÉ À LEURS LEURS PERSONNES QUI A COMPRIS UN JOUR QUE IL FALLAIT FAIRE PARLER LES ANONYMES MAIS N'ONT PAS PARLÉ À LEURS
PLACE MAIS LEUR DONNER LA LIBERTÉ D' EXPRESSION SUR SES PLATEAUX ET JE PENSE QUE C' EST LA RAISON DE SA POPULARITÉ APRÈS ON PARLE DE TOUS LES VISAGES DE JEAN LUC MOI JE N' EN RETIENS QU' UN C' EST CELUI D' UNE PERSONNE CERTES COMPLEXE MAIS UNE	PLACE MAIS LEUR DONNER LA LIBERTÉ D'EXRESSION SUR CES PLATEAUX ETO JE PENSE QUE C'EST LA RAISON SA POPULARITÉ APRÈS ON PARLE DE TOUS LES VISAGES DE GENS LUS QUE MOI JE NE RETIRE QU'UN C EST CELUI D'UNE PERSONNE CERTES COMPLEXES
PERSONNE TERRIBLEMENT ATTACHANTE AVEC DES FAILLES J' ENTENDAIS FLORIAN GAZAN PARLER AUSSI D' UNE PERSONNE PARFOIS DANS LA SOLITUDE JEAN LUC C' ÉTAIT TOUT ÇA À LA FOIS MAIS MAIS C' ÉTAIT QUELQU' UN D' EXTRÊMEMENT CHARISMATIQUE ET ET JE TIENS PERSONNELLEMENT	PERSONNE TERRIBLEMENT ATTACHANTE AVEC DESFAILLES J'ENTENDAIS UN FLORENT GAZAN PARLÉ AUSSI D'UNE PERSONNE PARFOIS DANS LA SOLITUDE AUJOURD'HUI QUI S'ÉTAIT TOUT ÇA À LAFOIS MAIS C'ÉTAIT QUELQU'UN D'EXTRÊMEMENT CHARISMATIQUE ET JE TIENS PERSONNELLEMENT
ET ET JE NE VEUX D' AILLEURS PAS FAIRE AUTREMENT À EN GARDER UNE IMAGE JE DIRAIS INOUBLIABLE ET ET ET INTACTE ET JE TROUVE QU' IL N' A PAS ÉTÉ RATÉ MALHEUREUSEMENT JE	ET JE NE VEUX D AILLEURS PAS FAIRE AUTREMENT A EN GARDER UNE IMAGE JE DIRAIT INOUBLIABLE ET EST INTACTE ET JE TROUVE QU IL N A PAS ÉTÉ RATÉE MALHEUREUSEMENTE
PENSE QUE LES MÉDIAS NE L' ONT PAS ÉPARGNÉ ET ET CE N' EST PAS DU TOUT LE JEAN LUC QUE JE CONNAISSAIS PERSONNELLEMENT	LES MÉDIAS N'ONT PAS ÉPARGNÉ ET CE N'EST PAS DU TOUT JEAN LUXE QUE JE CONNAISSAIENT PERSONNELLEMENT
VOUS AVEZ ENTENDU FLAVIE FLAMENT DIT LES MÉDIAS NE L' ONT ÉPARGNÉS MERCI FLAVIE FLAMENT MERCI D' AVOIR ÉTÉ EN DIRECT AVEC NOUS MERCI	À VOUS AVEZ ENTENDU FAIT GRONDY LES MÉDIAS N'ONT PAS EU PARMI MERSIME LIV LAMENT MERCI D'AVOIR ÉTÉ EN DIRECT AVEC NOUS VINC
MAIS ELLE ELLE A RAISON LES LES LES MÉDIAS ONT BRULÉ CE QU' ILS ONT ADORÉ (N) C' EST À DIRE QUE ON L' A PORTÉ AU PINACLE C' ÉTAIT LE GENDRE IDÉAL ET PUIS BON DÈS QU' IL Y A EU	MAIS ELLE A RAISON ET LES MÉDIAS ONT BRÛLÉ CE QU'ILS ONT ADORÉ ET INSTA DIRE QU'ON LA PORTER OPINAC C'ÉTAIT LE GENDRE IDÉAL ET PUIS BON DÈS QU'ILS
C' EST LE RÔLE DES MÉDIAS DE DIRE QUAND ÇA VA BIEN ET QUAND ÇA NE VA PAS BIEN AUSSI	LE RÔLE DES MÉDIAS DE DIRE QUAND ÇA VA BIEN IL Y A QUANT À L'EMBARESS
ALORS C' EST VRAI QU' AUSSI JEAN LUC DELARUE A ÉTÉ RATTRAPÉ PAR SES VIEUX DÉMONS ON ON ON LE SAIT IL S' EST EXPRIMÉ LÀ DESSUS IL AVAIT DES FÊLURES LE DIVORCE DE SES PARENTS QU' IL A	ASSEZ VRAI AUSSI JOUÉ DE LA RUE A ÉTÉ RATTRAPÉE PAR CES VIEUX DÉMONS OÙ ON LE SAIT Y S'EST EXPRIMÉ L'ATSU IL AVAIT DES FÉLURES LE DIVORCE DE SES PARANTS QU'IL A
TRÈS TRÈS MAL SUPPORTÉ UNE GRAND MÈRE QUI QUI QU' IL VÉNÉRAIT ET ENFIN	TRÈS MAL SUPPORTÉ UNE GRAND MÈRE QUI QUI QU'IL DIT QU'ILS LÉNÉRÈRENT
TOUT ÇA ÇA L' A RATTRAPÉ CE CÔTÉ EXCESSIF MAIS	TOUT ÇA ÇA LÀ ATTRAPER CE CÔTÉ EXCESSIF MAIS
C' ÉTAIT QUELQU' UN ON ON ON L' A PEU DIT DANS CES TÉMOIGNAGES C' EST QUELQU' UN D' EXTRÊMEMENT	C'ÉTAIT QUELQU'UN OU ON L'A PEUT DIRE DANS CES TÉMOIGNAGES ET QUELQU'UN D'EXTRÊMEMENT
SENSIBLE FRAGILE ET BON PEUT ÊTRE QUE TOUTES CES ADDICTIONS C' ÉTAIT EN PARTIE AUSSI POUR ÇA (N) PARCE QUE C' EST UN MÉTIER OÙ ON EST TRÈS EXPOSÉ IL Y A LA PRESSION LA PRESSION DE LA PRESSE LA PRESSION DE L' AUDIENCE L' AUDIMAT	SENSIBLES FRAGILES ET BONS PEUT ÊTRE QUE TOUTES CES ADDICTIONS S'ÉTAIT EN PARTIE AUSSI POUR ÇA PARCE QUE CET AMITIÉ ON EST TRÈS EXPOSÉ ET À PRESSION LA PRESSION D'APRÈS JE PRESSION L'AUDIENCE EN CELA
OUI FRANÇOIS VIOT JE POSAIS LA QUESTION À FLAVIE FLAMENT ELLE ME DIT COMPTEZ PAS SUR MOI POUR DIRE QUOI QUE CE SOIT EST CE QUE IL Y A EU UNE OMERTA	ET FRANÇOIS JE POSER LA QUESTION À FLAVIFAMENT NE DIT COMPTEZ PASSIONNANT POUR DIRE QUOI QUE CE SOIT QUE J ESQUAIS Y A EU UNE OMERTA
AUTOUR DE JEAN LUC DELARUE PARCE QUE VOUS LE RAPPELIEZ VOUS MÊME À UNE ÉPOQUE IL ÉTAIT	AUTOUR DE JEAN LUC DE LA RUE PARCE QUE VOUS LE RAPPELIEZ VOUS MÊME À UNE ÉPOQUE IL ÉTAIT
TOUT PUISSANT ET SURTOUT IL NE FALLAIT RIEN DIRE SUR JEAN LUC DELARUE MÊME SI	TOUT PUISSANT ET SURTOUT IL NE FALLAIT RIEN DIRE SUR JEAN LUC DE LA RUE MÊME CIRE
LE LE LE LE PARIS MÉDIATIQUE CONNAISSAIT PARAÎT IL SES EXCÈS	LE BLEU BLEU LE PARIS MÉDIATIS CONNAISSAIT PAR EST IL CES EXCÈS
SES FAILLES ET ET PARFOIS JUSTEMENT CE QUE ÇA POUVAIT AVOIR DE	CEFAYE ET PARFOIS JUSTEMENT CE QUE ÇA POUVAIT AVOIR D'
L' OMERTA NON IL A EU QUAND MÊME SA PART (N)	L'OBERCANO ET IL A EU QUAND MÊME SA PART
SUR LA FIN SUR LA FIN	AGIENS SUR LA FORÊT
OUI NON LES VOLEURS DE PATATES DES GUIGNOLS	LES VOLEURS DE PATATE DES GUIGNOLLES
ÇA N' A RIEN À VOIR C' EST DES HISTOIRES DE CONTRAT DU SERVICE PUBLIC	CELA PERDAMMENT SES LISÈRES DOMINTEURS ET DU SERVICE ANIMAL
PRODUCTEUR OUI C' EST ÇA C' EST VRAI ET PUIS QUAND MÊME LES IMAGES DANS LA PRESSE QU' ON A VUES À L' HEURE DU LAITIER OÙ IL EST IL EST EMBARQUÉ DONC C' EST NON JE PENSE PAS QU' IL EST	PRODUCTEUR OUI C EST ÇA C EST VRAI ET FIT QUAND MÊME DES IMAGES DANS LA PRESQU ON A VU ALORS DU LAITIER OÙ IL EST IL EST EMBARQUÉ DONC CETTE NOMBRE JE PENSE PAS QUI
C' ÉTAIT LA CHUTE ON ÉTAIT AU MOMENT DE LA CHUTE LORSQU' IL LORSQU' IL ALLAIT BIEN MAIS QUE DANS DES DÎNERS PARISIENS ON VOUS DISAIT (H) BEN TIENS CHEZ DELARUE C' ÉTAIT ENCORE UNE DRÔLE DE FÊTE ET CETERA IL Y AVAIT UN PETIT CÉNACLE QUI ÉTAIT AU COURANT	CHEZ DE LA RUE C'ÉTAIT ENCORE UNE DRÔLE DE FÊTE ET SES TERRES MAIS QUE DANS DES DIGNÉES PARISIENS RÉDIGÉS AU RETIEN CHEZ DE LA RUE C'ÉTAIT ENCORE UNE DRÔLE DE FÊTE ETC ET Y AVAIT ANTICÉNAC QUI ÉTAIT COURANTE
ALORS ÇA OUI	L'ENSEIGNE ESSAYE ET SES
PAS ÉTALÉ DANS LE DANS LA PRESSE	PAS EST AÉRALDANTE DANS LA PRESSE
C' EST VRAI LA PRESSE PEOPLE ÉTAIT PROBABLEMENT MOINS DÉVELOPPÉE À L' ÉPOQUE MAIS BON DE(LARUE) DELARUE IL A	C'EST VRAI LA PRESQU'IPOL ÉTAIT PROBABLEMENT MOINS DÉVELOPPÉE À L'ÉPOQUE MÉBO DE DE LA RUE NI HILA
IL A IL A IL A PORTÉ LE LE FLANC AUX CRITIQUES AUSSI (N) IL A IL ÉTAIT FAUT PAS NON PLUS EN FAIRE LE LE LE LE GENDRE IDÉAL C' ÉTAIT IL AVAIT UN CÔTÉ ANGE ET DÉMON EN MÊME TEMPS	IL ARRIVERA IL APPORTE LE FLANC AUX CRITIQUES AUSSI RINIER IL A IL ÉTÉ OPANO PLUS ENFER LE LE LE GENDRE IDÉAL C ÉTAIT IL AVAIT À CÔTÉ ANGÉ DES MONTS
EST CE QUE VOUS LE SAUREZ LE L' ÉCRIRE ÇA DANS DANS LES JOURNAUX TÉLÉS OU VOUS NE GARDEREZ QUE LES TALENTS DE L' ANIMATEUR ET DU PRODUCTEUR	EST CE QUE VOUS LE SEREZ LE L ÉCRIRE ÇA DANS LES JOURNAUX TÉLÉ VOUS NE GARDEREZ QUE LES TALENTS DE L ANIMATEUR ET DU PRODUCTEUR
MOI JE JE JE DÉCRIRAIS LES DEUX MAIS ON SERA SURTOUT NOUS ATTACHÉS PUISQU' ON VA VENIR À PEU PRÈS UNE QUINZAINE DE JOUR APRÈS APRÈS CE CE CE DÉCÈS À L' HOMME QUI A COMME LE DISAIS FLAVIE FLAMENT DONNÉ LA PAROLE AUX GENS PARCE QUE C' EST C' EST LUI QUI A	ILS ON FRAPPE SURTOUT VOUS ATTACHER PUISQU'ON L'AR VENIR DE PRÈS UNE QUINZAINE DE JOURS PEU APRÈS À PRESTATION DE CE DÉCÈS À L'HOMME QUI A COMME LE DISAIT FLAVI FLAMAND DONNEZ LA PAROLE AU GENRE PARCE QUE C EST C EST LUI
ET QUI A VRAIMENT RÉVOLUTIONNÉ LA TÉLÉVISION	À VRAIMENT RÉVOLUTIONNER LA TÉLÉVISION POUR RÉVOLUTIONNER LA TÉLÉVISION
QUI A VRAIMENT RÉVOLUTIONNÉ LA TÉLÉVISION À SA FAÇON DE PRÉSENTER C' ÉTAIT QUAND MÊME BON ON L' A ACCUSÉ LÀ ENCORE D' ÊTRE QUELQUEFOIS UN PEU TRASH MAIS	QUI EST VRAIMENT RÉVOLUTIONNAIRE DIVISION SA FAÇON PRÉSENTÉE C'ÉTAIT GRÈME BON LA CUISINE ENCORE D'ÊTRE QUELQUEFOIS À PEU TRACHE MAIS C'EST DE F
FAIRE DU VOYEURISME	VOYOURIISE
OUI MAIS (N) QUAND ON VOIT CE QU' IL SE PASSE AUJOURD'HUI NON MAIS C' ÉTAIT D' UNE MANIÈRE QUAND MÊME ASSEZ ÉLÉGANTE IL AVAIT TOUJOURS JE SAIS PAS DANS ÇA SE DISCUTE MOI JE ME SOUVIENS DE DE DE DE DE MOMENT OÙ	MALHEUREUSEMENT MAIS C'ÉTAIT D'UNE MANIÈRE ACTUELLE ASSEZ ÉLÉGANTE IL AVAIT TOUJOURS J'AI D'UNE MANIÈRE ÉCOLE ASSEZ ÉLÉGANTE IL AVAIT TOUJOURS J'AI D'UNE MANIÈRE ÉCOLE ASSEZ ÉLÉGANTE IL AVAIT TOUJOURS J'AI D'UNE MANIÈRE ÉCOLE ASSEZ ÉLÉGANTE IL AVAIT TOUJOURS ÉLÉGANTE IL AVAIT TOUJOURS ÉLÉGANTE IL AVAIT TOUJOURS ÉLÉGANTE IL AVAIT TOUJOURS ÉLÉGANTE IL AVAIT TOUJOURS ÉLÉGANTE IL AVAIT TOUJOURS ÉLÉGANTE ILS AVAIENT TOUJOURS
IL AVAIT UNE FAÇON	IL AVAIT UNE FAÇON
ÉLÉGANTE JE DIRAIS OUI EFFECTIVEMENT D' ABORDER LES CHOSES MÊME LES SUJETS LES PLUS LES PLUS GRAVES ET ET ET À LA FIN DANS SON ÉMISSION LÀ RAISON DE FAMILLE QU' ON A BEAUCOUP CRITIQUÉ JE TROUVAIS AUSSI QU' IL AVAIT TROUVÉ LE TON JUSTE	ÉLIGANGE DIRAIT OU EFFECTIVEMENT D'ABORDER LES CHOSES MÊME LES SUJETS LES PLUS LES PLUS GRAVES ET À LA FIN DANS SON ÉMISSION LA RÉSULTAMIE QU'ON A BEAUCOUP CRITIQUÉ TOMBER AUSSI QU'IL AVAIT TROUVÉ LE TON JUSTE
MERCI FRANÇOIS VIOT MERCI D' AVOIR ÉTÉ AVEC NOUS DIRECTEUR DE LA RÉDACTION DE TÉLÉ CABLE SAT	MERCI FRANÇOIS REMERCI D ABRITE AVEC LE DIRECTEUR DE LA RÉDACTION DE TÉLÉCA BLESSATE
D' AVOIR ÉTÉ EN DIRECT ON REPARLERA DE JEAN LUC DELARUE TOUT À L' HEURE À DIX HUIT HEURES QUARANTE	L'AVOIR ET TORDIALE TON REPARLERA JEAN LUC DE LA RUE TOUT À L'HEURE À DIX HUIT HEURES QUARANTE
AVEC UN DE SES AMIS NICOLAS VOLLAIRE ET LA DIRECTRICE DE LA RÉDACTION DU MAGAZINE CLOSER LAURENCE PIEAU QUI ÉTAIT UNE DES DERNIÈRES À AVOIR EU UNE LONGUE INTERVIEW	AVEC ANNE SES AMI NICOLAS VALLER ET LA DIRECTRICE DE LA RELATION DU MAGAZINE CLOSER LAURENCE PIONC ÉTAIT DERNIÈRE AVOIR UNE LONGUE INTERVIEW
DE JEAN LUC DELARUE ON VA FAIRE UN POINT SUR LE TRAFIC BEAUCOUP D' ENTRE VOUS SONT SUR LA ROUTE C' EST LE RETOUR DES VACANCES À DIX HUIT HEURES DIX NEUF ON VA RETROUVER MAXIME POULLAOUEC EN DIRECT DE ROSNY SOUS BOIS EN SEINE SAINT DENIS MAXIME	DE JEAN LUC DE LARUNE ENVAH FAIRE EMPLOI SUR LE TRAFIC BEAUCOUP D'ENTRENOSSANT SUR LA ROUTE ET LE RETOUR DES VACANCES À DIX HUIT HEURES DIX NEUF À RETROUVER MARXIME PALLOWECK EN DIRECT DE RONNIE SOUS MOIS EN SEINE SAINT NI MAXIME
L' INFO TRAFIC AVEC GREEN ACCRES POINT COM MOTEUR DE RECHERCHES IMMOBILIÈRES SUR INTERNET	L'INFOTRAPHIQUE AVEC GRENAC COM MOTEUR DE RECHERCHE IMMOBILIÈRE SUR INTERNET
CETTE SOIRÉE EST CLASSÉE ORANGE DANS LE SENS DES RETOURS EN ILE DE FRANCE ET DANS LE SUD EST ÇA SE CONFIRME À L'	CETTE SOIRÉE EST CLASSÉE AU RANG D'ENSEMBLE DES RETOURS EN ÎLE DE FRANCE ET DANS LE SUD EST
APPROCHE DE PARIS VOUS ÊTES BIEN RALENTI SUR L' A12 ENTRE GUYANCOURT ET ROCANCOURT	RÔLE DE PARIS VOUS ÊTES BIEN RALENTI SUR L ADOUTE ENTRE GUYON COURIR AU CONCOURS
SUR L' A10 ENTRE JANVRY ET WISSOUS ET SUR L' A6 D' EVRY JUSQU' À VIRY CHÂTILLON VOUS ÊTES ÉGALEMENT NOMBREUX SUR LA NATIONALE CENT DIX HUIT DE CLAMART JUSQU' AU PONT DE SÈVRES	SUR L'INDICE ENTRE JANVIER ET VISSOU ET SUR L'ASSISTE D'EVRY JUSQU'À VIRY CHÂTILLON VAIDE ÉGALEMENT NOMBREUX SUR LA NATIONAL SANDWICH DE CLAMART JUSQU'AUX CONCERTS
POUR QUITTER PARIS ÇA N' AVANCE PAS SUR L' A6 ENTRE CHILLY MAZARIN ET SAVIGNY SUR ORGE ÇA N' AVANCE PAS NON PLUS SUR L' A3 ENTRE LA PORTE DE BAGNOLET ET ROSNY SOUS BOIS	POUR QUITTER PARIS ÇA N'AVANCE PAS SUR LASSIF ENTRE CHI MAZARIN ET FAVIGNY SUR EURE SUR ORGE S' N AVANCE PAS À NON PLUS SUR LA TRENTE POUR LA PORTE DE BAGNOLET ET RONY SOUS BOIS
À CAUSE D' UN ACCIDENT EN RÉGION CENTRE SUR L' A10 EN DIRECTION DE PARIS LE SECTEUR DE TOURS EST BIEN COMPLIQUÉ CE SOIR ET DIFFICULTÉS AUSSI EN VALLÉE DU RHÔNE SUR L' A7	D'UN ACCIDENT EN RÉGION CENTRE SUR LA DIFFÉRENTE DIRECTION DE PARIS LE SECTEUR DE TOURS EST BIEN COMPLIQUÉ CE SOIR LES DIFFICULTÉS DU RHÔNE SUR L'ACE
POUR REMONTER VERS LYON ENTRE ORANGE ET LYON COMPTER DEUX HEURES CINQUANTE CONTRE UN HEURE CINQUANTE HABITUELLEMENT PRINCIPALE DIFFICULTÉ ENTRE ORANGE ET MONTÉLIMAR PUIS ENTRE VIENNE ET CHASSE SUR RHÔNE	POUR REMONTER VERS LION ENTRE RANG ET LION COMTÉ DEUX HEURES CINQUANTE CONTRÉES NORD CINQUANTE HABITUELLEMENT LA PRINCIPALE DIFFICULTÉ ENTRE ANGERS MONTÉLIMAR PUIS ENTREVIENNE ET CHASSE SUR RHÔNE
LE TUNNEL DE FOURVIÈRE À LYON EST AUSSI BIEN CHARGÉ ENFIN LANGUEDOC ROUSSILLON SUR L' A9 EN DIRECTION D' ORANGE DIX KILOMÈTRES DE RA() RALENTISSEMENTS SONT RECENSÉS CE SOIR AU NIVEAU DE MONTPELLIER	LE TUNNEL DE FOURRIÈRES À LYON EST AUSSI BIEN CHARGÉ ENFIN LONG DECRUSSILLON SUR LA NEUF EN DIRECTION D ORANGE DIX KILOMÈTRES DE RALENTISSEMENT SANS RECENSER CE SOIR AU NIVEAU DE MONTPELLIER
C' ÉTAIT L' INFO TRAFIC AVEC GREEN ACCRES POINT COM MOTEUR DE RECHERCHES IMMOBILIÈRES SUR INTERNET	OUCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCH
BFM STORY ON VA CONTINUER NOTRE VOYAGE AU COEUR DE L' ACTUALITÉ EN REVENANT SUR LA CHUTE DE LANCE ARMSTRONG LE GRAND COUREUR AMÉRICAIN BONSOIR GÉRARD PORTE VOUS ÊTES L' ANCIEN MÉDECIN DU TOUR DE FRANCE VOUS AVEZ ÉTÉ MÉDECIN DU TOUR DE DE QUAND À QUAND	BEAFEMSTORIA CONTINUE ENTRE VOYAGES AU C UR DE L'ACTUALITÉ EN REVENANT SUR LA CHUTE DE L'ERNST ARMSTRONG LE GRAND COUREUR AMÉRICAIN BON SOIR GÉRARD PORT VOUS ÊTES L'ANCIEN MÉDECIN DU TOUR DE FRANCE AVEC LES MÉDECINS À CAMP
(H) PENDANT TRENTE NEUF ANS ENFIN TRENTE NEUF ANS SUR LE TOUR D' ABORD COMME INFIRMIER ENSUITE COMME MÉDECIN PUIS ENSUITE COMME RESPONSABLE ET DONC DE SOIXANTE DOUZE À JUSQU' À DEUX MILLE DIX	A PENDANT TRENTE NEUF ANS TRENTE NEUF ANS SUR LE TOUR D'ABORD COMME INFIRMIER ENSUITE COMME MÉDECIN PUIS ENSUITE COMME RESPONSABLE ET DONC DE SOIXANTE DOUZE JUSQU'À DEUX MILLE DIX
OUI ON VA ÉCOUTER LA RÉACTION DE THOMAS VOECKLER LE LE DERNIER MEILLEUR GRIMPEUR	ENVAH ÉCOUTER LA RECTION DE THOMAS VOCKLER LE DERNIER MEILLEUR GRIMPEUR
ABSOLUMENT	UN ÉLÉMENT
À PROPOS DE LA CHUTE DE LANCE ARMSTRONG LA CHUTE FINALE COMME ON DIT ÉCOUTEZ	À PROPOS DE LA CHUTE DE L ENSENSON DE LA CHUTE FINALE COMME ON Y ÉCOUTAIT
J' AI COURU AVEC LUI DANS LE PELOTON C' ÉTAIT ON ÉTAIT CONCURRENT PAS PAS AVEC LES MÊMES OBJECTIFS PARCE QUE J' AI JAMAIS EU LA PRÉTENTION DE DE GAGNER LE TOUR DE FRANCE OU DE POUVOIR LUTTER AVEC LUI SUR UN PLAN SPORTIF DONC	J'AI COURU AVEC LUI DANS LE BLOTON C'ÉTAIT L'ÉTÉ CONCURRENT
(H) FRANCHEMENT ÇA ME JE PEUX PAS TROP COMMENTER PARCE QUE ÇA ME ÇA ME FAIT NI CHAUD NI FROID EN FAIT VOILÀ	RECHERCHANT ÇA MEURT IL PEUT PAS TROP COMMENTER PARCE QUE ÇA MEURT SYMPHANIPHONIE FORT FÉDÉRAL
À QUARANTE ANS LANCE ARMSTRONG QUI A CESSÉ LE COMBAT IL A ANNONCÉ QU' IL RENONÇAIT À CONTESTER LES ACCUSATIONS DE DOPAGE ET LES POURSUITES LANCÉES CONTRE LUI PAR L' AGENCE AMÉRICAINE ANTIDOPAGE JE SUIS BLANC MAIS J' EN AI ASSEZ DE ME BATTRE	LA QUARANTONNE SAMSTRON QUI A CESSÉ LE COMBAT IL ANNONCE QU'IL RENONCE À CONTESTER LES ACCUSATIONS D'OPAGE ET LES POURSUITES LANCÉES CONTRE LUI PAR L'AGENCE AMÉRICAINE ANTIOPAGE JE SUIS BLANC MES JOURNÉES ASSEZ NEUBÂTRES
C' EST CE QU' A DIT LANCE ARMSTRONG DU COUP ON VA LUI ENLEVER EN TOUT CAS C' EST L' UNION CYCLISTE INTERNATIONALE QUI DEVRA EN DERNIER DÉCIDER ON VA LUI ENLEVER TOUTES SES VICTOIRES DU TOUR IL DIT QU' IL EST BLANC COMME NEIGE EST CE QU' ON A AFFAIRE À À UN INNOCENT À UNE ERREUR JUDICIAIRE INTERNATIONALE SI JE PUIS DIRE	C'EST SKADY LENS ARMSTRONG DU COUP ON VA LUI ENLEVER EN SCATION CYCLISTE INTERNATIONALE QUI DEVRA EN DERNIER DÉCIDENT D'ALLERGUER TOUTES CES VICTOIRES DU TOUR ET DIT QU'IL EST BLANC COMME NEIGE ET CE QU'ON AFFAIRE À UN INNOCENT À UNE ERREUR JUDICIAIRE INTERNATIONALE SISPILIEN
