BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	SONT NÉCESSAIRES FEMMES SOURIS EN DIRECT JUSQU À À DIX NEUF HEURES
QUI SONT EN TRAIN DE TESTER TOUTES LES LES HYPOTHÈSES ET PUIS VOUS AVEZ AUSSI UNE AUTRE JE VEUX DIRE UN AUTRE ÉLÉMENT À PRENDRE EN COMPTE C' EST L' IDÉE DE FRAPPE PRÉEMPTIVE QUI VISERAIT À DÉTRUIRE L' ARSENAL SI L' ANNÉE SI	QUI SONT EN TRAIN DE TESTER TOUTES LES ÉGLISES HYPOTHÈSES ET PUIS VOUS AVEZ AUSSI UNE AUTRE RÉUNIR UN ENTRAINEMENT PRENDRE EN COMPTE C EST L IDÉE DE FRAPPES PRÉOMPTIVES QUI VISERAIT À DÉTRUIRE L ARSENAL SI L ANNÉE
(N) LÀ C' EST COMME TOUJOURS TRÈS ÉPARPILLÉ	MAIS LÀ AINSI COMME TOUJOURS TRÈS ÉPARPILLÉ
SATELLITE EST CE QUE TOUT ÇA EST OBSERVÉ PAR LES AMÉRICAINS NOTAMMENT EST CE QU' ON SAIT PRÉCISÉMENT OÙ SONT STOCKÉES CES ARMES CHIMIQUES	TELLITES QUE TOUT ÇA EST OBSERVÉE PAR LES AMÉRICAINS NOTAMMENT RESPONSAIENT PRÉCISÉMENT OÙ SONT STOCKÉS SES ARMES CHIMIQUES
LE PRÉCISÉMENT JE LE JE LAISSE LE SOIN À CEUX QUI LE SAVENT PEUT ÊTRE DE DE DEV() DE POUVOIR LE PRÉCISER EN TOUT CAS IL Y A SANS DOUTE UN CERTAIN NOMBRE D' INFORMATIONS JE RAPPELERAI QU' EN DEUX MILLE SIX IL Y A EU UNE ATTAQUE PRÉVENTIVE ISRAÉLIENNE QUI A DÉTRUIT	LE PRÉCISÉMENT SE RESTE AU SOIR À CE QUI LE SAVENT PEUT ÊTRE DE DEVENU DE POUVOIR LE PRÉCISER EN TOUT CAS IL Y A SANS DOUTE UN CERTAIN NOMBRE D INFORMATIONS JE RAPELLERAIS COMME DE MILLE SIX IL Y A EU UNE ATTAQUE PRÉVENTIVE ISRAÉLIENNE QUI A DÉTRUIT
LE LE DÉBUT DE CENTRES NUCLÉAIRES MILITAIRES	LE LE DÉBUT DEUX CENTRES NUCLÉAIRES MILITAIRES
QUE LES SYRIENS ÉTAIENT EN TRAIN DE CONSTRUIRE MAIS C' ÉTAIT SANS DOUTE PLUS FACILE	LES SYRIENS ÉTAIENT EN TRAIN DE CONSTRUIRE MAIS C ÉTAIT SANS DOUTE PLUS FACILE
QUE ESSAYER DE TAPER DE DES ARMES CHIMIQUES DE L' ARTILLERIE CHIMIQUE SYRIENNE	QUE ESSAYE DE TAPER DEUX DES ARMES CHIMIQUES DE L ARTILLERIE CHIMIQUE DE SYRIED
DISPERSÉES DANS LE PAYS ET POUR LEQUEL JE DIRAIS UN TIR RAPIDE SUR ISRAËL PAR EXEMPLE	DISPERSÉ DANS LE PAYS EST POUR LE CACHE DURER UN TIR RAPIDE SUR ISRAËL PAR EXEMPLE
POURRAIT IMMÉDIATEMENT LE UN SEUL COUP SUFFIRAIT À CRÉER UNE CRISE MAJEURE AU PROCHE ORIENT ET C' EST POUR ÇA QUE CE COUP LÀ IL FAUT PEUT ÊTRE ÉVITER QU' IL SE PRODUISE	POURRAIT IMMÉDIATEMENT UN SEUL COUP SUFFIRÉ À CRÉER UNE CRISE MAJEURE AU PROCHE ORIENT ET C EST POUR ÇA QUE CECOULA IL FAUT PEUT ÊTRE ÉVITER QU ILS SE PRODUISENT
MAIS EST CE QUE LA LA VRAIE PROBLÉMATIQUE FINALEMENT C' EST PAS CELLE DE VOIR CES ARMES TOMBER DANS DES MAINS PAS FORCÉMENT BIEN INTENTIONNÉES	EST CE QUE LA VRAIE PROBLÉMATIQUE EST ANNONCÉE PASCELLE DE VOIR SES ARMES TOMBÉE DANS DES MAINS PAS FORCÉMENT BIEN ATTENTIONNÉES
PARCE QUE SI LE PAYS BASCULE DANS LE CHAOS ET ÇA SEMBLE ÊTRE LE CAS AVEC NOTAMMENT LA DEUXIÈME VILLE D' ALEP QUI CONNAÎT DE VIOLENTS COMBATS CE SOIR	PARCE QUE SI LE PAYS BASCULE DANS LE CHAOS ET S ASSEMBLE ÊTRE LE CAS AVEC NOTAMMENT LA DEUXIÈME VILLE D ALEP QUI CONNAÎT DE DU VIOLENT COMBAT CE SOIT
ON IMAGINE L' ANGOISSE DES PAYS AUX ALENTOURS JE PENSAIS À ISRAËL PAR EXEMPLE DE DE VOIR CES ARMES CHIMIQUES ENTRE LES MAINS DE MOUVEMENTS ON PEUT PENSER AU HEZBOLLAH OU D' AUTRES MOUVEMENTS	ON IMAGINE L ANGOISSE DES PAYS ET AUX ALLANTOUCHES PENSÉES AISRAËL PAR EXEMPLE DE DEVOIR SES ARMES CHIMIQUES ENTRE LES MAINS DE MOUVEMENTS PENSÉS WEBOLA OU D AUTRES MOUVEMENTS
OUI ET D' AILLEURS ÇA FAIT DÉJÀ PLUSIEURS ANNÉES JUSTEMENT QU' ISRAËL CONSIDÈRE QUE IL Y A UN RISQUE DE TRANSMISSION DE CE TYPE D' ARMES AU HEZBOLLAH DONC ÇA ÇA NE DATE PAS D' HIER	OUI EST D AILLEURS ÇA FAIT DÉJÀ AVEC PLUSIEURS ANNÉES JUSTEMENT QU ISRAËL CONSIDÈRE QUE IL Y A UN RISQUE DE TRANSMISSION DE CE TYPE D ARMOIS VOLLA DANS ÇA SA NE DATE PADIÈRE
PUIS VOUS AVEZ AUSSI UNE AUTRE HYPOTHÈSE QU' IL FAUT PRENDRE EN COMPTE C' EST	SI VOUS AVEZ AUSSI UNE AUTRE HYPOTHÈSE QU IL FAUT PRENDRE EN COMPTE CES
UNE MANIPULATION DU POUVOIR QUI POURRAIT FAIRE EN FAISANT EXPLOSER PAR EXEMPLE UN FUT D' ARMES CHIMIQUES QUELQUE PART EN SYRIE ACCUSER LES LES INSURGÉS FINALEMENT D' EN ÊTRE RESPONSABLES	UNE MANIPULATION DU POUVOIR QUI POURRA FAIRE EN FAISANT EXPLOSER PAR EXEMPLE UN FÛT D ARMES CHIMIQUES QUELQUE PART EN SYRIE ACCUSÉ LES INSURGÉS FINALEMENT D UN ÊTRE RESPONSABLE
ET À PARTIR D' UN VÉRITABLE ACCIDENT CHIMIQUE CRÉER LA CONFUSION SUR LES INTENTIONS JUSTEMENT À TRAVERS AL QUAÏDA LES GROUPES SUNNITES LES PLUS RADICAUX DE LA DANGEROSITÉ JUSTEMENT DES INSURGÉS VIS À VIS DE CES ARMES DONC VOUS VOYEZ QUE	IL A PARTIR D UN VÉRITABLE ACCIDENT CHIMIQUE CRÉÉ LA CONFUSION SUR LES INTENTIONS JUSTEMENT À TRAVERS AL QAÏDA LES GROUPES SUNNITES LES PLUS RADICAUX DE LA DANGEROSITÉ JUSTEMENT DES INSURGÉS VIS À VIS DE SES ARMES D ANGLOYER
LE LE LE TYPE DE RISQUE ET L' ÉCHELLE DES HYPOTHÈSES EN MATIÈRE DE DANGEROSITÉ EST EXTRÊME ET EXTRÊMEMENT LARGE	LE FÉDÉRAL LE TYPE DE RISQUE ET L ÉCHELLE DES HYPOTHÈSES EN MATIÈRE DE DANGEROSITÉ EST EXTRÊME ET EXTRÊMEMENT LARGE
ON A UN AUTRE EXEMPLE C' EST LA LYBIE LE LE RÉGIME DE KADHAFI EST CE QU' IL Y AVAIT DES ARMES CHIMIQUES EN LYBIE EST CE QU' AUJOURD'HUI CES ARMES SONT ENTRE LES MAINS DE DE GROUPES TERRORISTES ON PENSE NOTAMMENT À AL QUAÏDA	UN AUTRE EXEMPLE SES À LA LIBYE LE RÉGIME DES DEUX KADAFI EST TOMBÉ EST CE QU IL Y AVAIT DES ANCHIMIES EN LIBYESQUE AUJOURD HUI CES ARBRES SONT ENTRE LES MAINS DE DU GROUPE THÉORIE S OPPOSE NOTAMMENT À QAÏDA
CE QUI DIFFÉRENCIE LA LA LYBIE DES AUTRES PAYS C' EST QU' EN DEUX MILLE TROIS ELLE A ACCEPTÉ D' ABANDONNER SON ARSENAL CHIMIQUE BIOLOGIQUE ET NUCLÉAIRE ENFIN EN TOUT CAS POUR LES DEUX DERNIERS EN CONSTRUCTION	CE QUI DIFFÉRENCIE LA LIBYE DES AUTRES PAYS CINQUANTE MILLE TROIS ELLE A ACCEPTÉ D ABANDONNER SON ARSENAL CHIMIQUE BIOLOGIQUE ET NUCLÉAIRE AFIN TOUT CAS POUR LES DEUX DERNIERS EN CONSTRUCTIONS
POUR RETOURNER DANS LA COMMUNAUTÉ INTERNATIONALE À PARTIR DE CE MOMENT LÀ SI VOUS VOULEZ ELLE S' EST REMIS DANS LES MAINS DES AUTORITÉS INTERNATIONALES	POUR RETOURNER DANS LA COMMUNAUTÉ INTERNATIONALE À PARTIR DE CE MOMENT LA SÉVOULE ELLE S EST REMISE DANS LES MAINS DES AUTORITÉS INTERNATIONALES
L' A() L' AGENCE DE DE DESTRUCTION DES ARMES CHIMIQUES ENFIN LA CONVENTION DE DESTRUCTION DES ARMES CHIMIQUES ETCVENT DESC=ET CETERA TYPE=PRONOUNCE EXTENT=PREVIOUS/> L' AIEA POUR LE NUCLÉAIRE ET DONC A ELLE A REMIS TOUT L' ARSENAL OU EN TOUT CAS LA PLUPART DE SON ARSENAL	L AGENCE DE VUE DE DESTRUCTION DES ARMEES CHIMIQUES FAIT LA CONVENTION DE DESTRUCTION DES ARMES CHIMIQUES ETC L AÏUA POUR LE NUCLÉAIRE ET DONT ELLE A REMIS TOUT L ARSENAL EN TOUT CAS LA PLUPART DE SON ARSENAL
AUX AUTORITÉS COMPÉTENTES IL EST POSSIBLE QU' IL RESTE DES RÉSIDUS EN LYBIE QUI POURRAIENT PASSER ÉVENTUELLEMENT DANS LES MAINS DE L' ENNEMI MAIS C' EST	AUX AUTORITÉS COMPÉTENTES IL EST POSSIBLE QU IL RESTE DES RÉSIDUS LIMITES POURRAIT PASSER ÉVENTUELLEMENT DANS LES MAINS DE LA NUIT MAIS C EST
PEU PROBABLE OU EN TOUT CAS EN QUANTITÉ INFIME DANS LE CAS SYRIEN NOUS SOMMES DANS UNE HYPOTHÈSE TOTALEMENT DIFFÉRENTE NOUS AVONS UNE ARMÉE CONSTITUÉE DOTÉE DES ARMES CE QUE N' AVAIT PLUS PAR EXEMPLE SADDAM HUSSEIN LORS DE LA DEUXIÈME GUERRE C' EST À DIRE CELLE QUI A ENTRAÎNÉ SA DISPARITION	PEU PROBABLE EN TOUT CAF EN QUANTITÉ IMPIBE DANS LE CABINET SYRIENNE OU SOMME DANS UNE HYPOTHÈSE TOTALEMENT DIFFÉRENTE NOUS AVOIR UNE ARMÉE CONSTITUÉE D AUTRES ARBRES CE QUE N AVAIT PLUS PAR EXEMPLE SADAMUCEN LORS DE LA DEUXIÈME GUERRE C EST À DIRE CELLE QUI ENTRAÎNAIT SA DISPARITION
JEAN PIERRE DAGUZAN MERCI JE RAPPELLE QUE VOUS ÊTES LE DIRECTEUR ADJOINT DE LA FONDATION POUR LA RECHERCHE STRATÉGIQUE MERCI POUR CES PRÉCISIONS SUR LES ARMES CHIMIQUES	JEAN PIERRE D AGUZAN MERCIGE RAPPELLE COSETTE LE DIRECTEUR ADJOINT DE LA FONDATION POUR LA RECHERCHE STRATÉGIQUE MERCI POUR SES PRÉCISIONS SUR LES ARMES CHIMIQUES
AUX MAINS DU RÉGIME SYRIEN À SUIVRE SUR BFM TV DANS BFM STORY LA FIN C' EST TERMINÉ DE FRANCE SOIR ÇA Y EST C' EST VRAIMENT TERMINÉ LA VERSION PAPIER ÉTAIT TERMINÉE DEPUIS QUELQUES MOIS LA VERSION NUMÉRIQUE ÉGALEMENT	OMAR DU RÉGIME SYRIEN À SUIVRE SÜRBEFENTEVE NORBERFEMSTERRY LA FAIM C EST TERMINÉ DE FRANÇOISE A LAISSÉ VRAIMENT TERMINER LA VERSION PAPIER THERMIQUE QUE QUELQUES MOIS LA VERSION NUMÉRIQUE ÉGALEMENT
ON VA REVENIR SUR CE TITRE HISTORIQUE AVEC LE TOUT DERNIER RÉDACTEUR EN CHEF DE FRANCE SOIR DOMINIQUE DE MONTVALON QUI EST CE SOIR MON INVITÉ ET PUIS LE DÉBAT CE SOIR AUTOUR DE CES TENSIONS DANS LA ZONE EURO L' ALLEMAGNE QUI POURRAIT PERDRE SON TRIPLE A L' ESPAGNE QUI EST EN GRANDE DIFFICULTÉ	ON VA REVENIR SUR CE TITRE HISTORIQUE AVEC LE TOUT DERNIER RÉDACTEUR EN CHEF DE FRANÇOIS DOMINIQUE MONT VALONQUÉ CE SOIR MON INVITÉ ET PUIS LE DÉBAT SE SOIT AUTOUR DE SES TENSIONS DANS LA ZONE EURO L ALLEMAGNE QUI POURRAIT PERDRE SON TRIPLÉ L ESPACE EST EN GRANDE DIFFICULTÉ
ET VA T ON VIVRE UN NOUVEL ÉTÉ MEURTRIER DANS LA ZONE EURO ÇA SERA LA QUESTION POSÉE À UNE ÉCONOMISTE SPÉCIALISTE DE L' ESPAGNE ET AU DÉPUTÉ SOCIALISTE RAPPORTEUR GÉNÉRAL DE LA COMMISSION DES FINANCES QUI EST MON INVITÉ CHRISTIAN ECKERT	ET WATTON VIVRE À UNE NOUVELLE ÉTÉ MEURTRIER DANS LA ZONE ROSSARALE ET SURPOSÉE A UNE ÉCONOMISTE SPÉCIALISÉE À L ESPAGNE ET AUX DÉPUTÉS SOCIALISTES RAPPORTEUR GÉNÉRAL DE LA COMMISSION DES FINANCES QUI M ONT ÉVITÉE CHRISTIAN ECKER
JUSTE APRÈS LES INFOS DE DIX HUIT HEURES TRENTE IL EST À MES CÔTÉS C' EST DAMIEN GOURLET QUE FAUT IL RETENIR CE SOIR DANS L' ACTUALITÉ TOUT D' ABORD LES FLAMMES QUI REPRENNENT QUI REPRENNENT DE LA VIGUEUR EN ESPAGNE	JUSTE APRÈS LES INFOS DE DIX HUIT HEURE TRENTE IL EST À SES CÔTÉS CES DAMIENS GOURLET QUE FAUT IL RETENIR CE SORT D ACTIVITÉ TOUT D ABORD LES FLAMMES QUI REPRENNENT DE LA VIGUEUR EN ESPAGNE
ET OUI MALHEUREUSEMENT C' EST LE VENT QUI DICTE SA LOI LÀ BAS DEPUIS CE MATIN LA TENDANCE ÉTAIT PLUTÔT À L' OPTIMISME LE FEU N' ÉTAIT PAS MAÎTRISÉ MAIS AU MOINS IL NE PROGRESSAIT PLUS RENVERSEMENT DE TENDANCE CES DERNIÈRES HEURES NICOLAS DE LABAREYRE	MALHEUREUSEMENT S ÉLEVANT QUI DICTE SALWA LAVA DE PUIS CE MATIN L ATTENDANCE ÉTAIT PLUTÔT À L OPTIMISME LE FEU N ÉTAIT PAS MAÎTRISÉ NÉANMOINS IL NE PROGRESSAIT PLUS RENVERSEMENT DE TENDANCE CES DERNIÈRES HEURES NI COLLABORAIRE
C' EST DEPUIS L' HÉLICOPTÈRE DES POMPIERS ESPAGNOLS QUE L' ON SAISIT L' ÉTENDUE DU DÉSASTRE QUATORZE MILLE HECTARES DE VÉGÉTATION CALCINÉE DES EXPLOITATIONS AGRICOLES RAVAGÉES	C EST DEPUIS L HÉLICOPTÈRE DES POMPIERS ESPAGNOLS QUE L ON SAISIT L ÉTENDUE DU DÉSASTRE QUATORZE MILLE TARS DE VÉGÉTATION CALCINÉE DES EXPLOITATIONS AGRICOLES RAVAGÉES
SEULS CES QUELQUES MAISONS SEMBLENT AVOIR ÉCHAPPÉ AUX FLAMMES DE JUSTESSE	SEULES SES QUELQUES MAISONS SEMBLENT AVOIR ÉCHAPPÉ AUX FLAMMES DE JUSTESSE
QUATRE CENT CINQUANTE POMPIERS FRANÇAIS SONT VENUS SOUTENIR LEURS COLLÈGUES ESPAGNOLS LE RELIEF ACCIDENTÉ NE LEUR FACILITE PAS LA TÂCHE	QUATRE CENT CINQUANTE POMPIERS FRANÇAIS SONT VENUS SOUTENIR LEURS COLLÈGUES ESPAGNOLS LE RELIEF ACCIDENTÉ NE LEUR FACILITE PAS LA TÂCHE
(H) IL Y A DES TERRAINS QUI SONT TOTALEMENT INACCESSIBLES DONC LÀ ON A DEUX SOLUTIONS SOIT FAIRE LARGUER LES AVIONS BOMBARDIERS D' EAU	RIEN DES TERRAINS QUI SONT TOTALEMENT INACCESSIBLES L ENCER EN DEUX SOLUTIONS SOIENT FAIRE LARGUER LES AVIONS BOMBARDINAUX
MAIS DANS TOUS LES CAS IL FAUT UNE PRÉSENCE AU SOL POUR ARRIVER À ÉTEINDRE COMPLÈTEMENT LE LE FEU OU HÉLIPORTER DES PERSONNELS QU' ON POSE SUR DES POINTS HAUTS AVEC DES ET QUI VONT ESSAYER D' ATTEINDRE LE SINISTRE	MAIS DANS TOUS LES CAÏPHONES PRÉSENCES AU SOL POUR ARRIVER À ÉTEINTE COMPLÈTEMENT LE FAIT OU HÉLIPORTER DES PERSONNELS COMPOSENT SUR DES POINTS ROUX AVEC DES ÉQUIVANTS ESSAYÉS D ATTEINDRE LE SINISTRE
AU SOL LES SOLDATS DU FEU SILLONNENT LES ROUTES ET LES VILLAGES DE LA RÉGION LEUR MISSION NEUTRALISER LES FUMEROLLES ET NOYER CERTAINES ZONES	AU SOL LES SOLDATS DU FEU SILLONNENT LES ROUTES ET LES VILLAGES DE LA RÉGION LEUR MISSION NEUTRALISAIENT LES FUMEROLLES ET NOYÉS CERTAINES ZONES
LE VENT EST EN TRAIN DE SE LEVER IL FAIT EXTRÊMEMENT CHAUD IL Y A PLEIN DE BOULOT QU' ON DOIT TRAITER EN PRIORITÉ ET LÀ EFFECTIVEMENT IL FAUT QU' ON SOIT TRÈS VIGILENT PARCE QUE IL Y A DES REPRISES UN PEU PARTOUT LÀ DÈS QUE LE VENT SE LÈVE DONC VA FALLOIR QU' ON RESTE LÀ EN SURVEILLANCE	AVOIR L ENTRÉE DE SOMMER IL EST SA MANGEANT ET PRENEZ VOULONS COMME UN TRAITER PRIORITAIRE MONSIEUR RÉPRISE INTELLIGENT MASQUE IL EST REPRISEUR RECONNU COMME UN SEULEMENT MAINTENANT RESTAURANT SUR RISQUE
CÔTÉ FRANÇAIS LE FEU EST MAÎTRISÉ MAIS CÔTÉ ESPAGNOL LA SITUATION RESTE INCERTAINE SURTOUT SUR LE FROND OUEST	CÔTÉ FRANÇAIS LE FEU EST MAÎTRISÉ MES CÔTÉS ESPAGNOLS LA SITUATION RESTE INCERTAINE SURTOUT SUR LE FRONT OUEST
L' ACTUALITÉ POLITIQUE DU VINGT QUATRE AU VINGT SIX AOÛT LES UNIVERSITÉS D' ÉTÉ DU PS À LA ROCHELLE CE SERA SANS SÉGOLÈNE ROYALE LA PRÉSIDENTE DE LA RÉGION POITOU CHARENTES RESTE D' APRÈS SES PROCHES MARQUÉE PAR SA DÉFAITE AUX LÉGISLATIVES LOURDEMENT BATTUE PAR LE DISSIDENT	L ACTUALITÉ POLITIQUE DU VINGT QUATRE VINGT SIX AUTRES UNIVERSITÉS D ÉTÉ DU PESSE À LA ROCHELLE SE SERA CENT SÉGOLÈNE ROYAL PRÉSIDENT DE LA RÉGION POITOU CHARENTE RESTE D APRÈS SES PROCHES MARQUÉES PAR SA DÉFAITE LÉGISLATIVE LOURDEMENT BATTUE PAR LE DISSIDENT
OLIVIER FALORNI SELON SON ENTOURAGE LA TÊTE VA BIEN MAIS LA JAMBE EST DANS LE PLÂTRE EXPRESSION DE SON ENTOURAGE A SIGNALÉ PRÉCISION DE THIERRY ARNAUD CHEF DU SERVICE POLITIQUE DE BFM TV QUE LA DÉCISION A ÉTÉ PRISE EN ACCORD TOTAL AVEC LA PREMIÈRE SECRÉTAIRE MARTINE AUBRY	OLLIVIER FALLORNY SELON SON ENTOURAGE DE LA TÊTE VA BIEN MAIS LA JAMBE ET DANS LE PLÂTRE EXPRESSION DE SON ENTOURAGE À SIGNALER PRÉCISION DE THIERRY ARNO CHEF DU SERVICE POLITIQUE DE BÉTHET AVEC LA DÉCISION ÉTAIT PRISE EN ACCORD UN TOTAL AVEC LA PREMIÈRE SECRÉTAIRE MARTINE AU BRY
L' ALLEMAGNE LES PAYS BAS LE LUXEMBOURG TROIS DES PILIERS DE LA ZONE EURO SONT DÉSORMAIS DANS LE COLLIMATEUR	L ALLEMAGNE LES PAYS BAS LE LUXEMBOURG TROIS DES PILIERS DE LA ZONE EURO SONT DÉSORMAIS DANS LE COLIMATEUR
DE L' AGENCE MOODY' S SOUS SURVEILLANCE NÉGATIVE L' AVENIR À LONG TERME DE LEUR TRIPLE A S' INSCRIT EN POINTILLÉ DE NOUVEAU LES BOURSES EUROPÉENNES S' INQUIÈTENT	DE L AGENCE MOODYZ SOUS SURVEILLANCE NÉGATIVE L AVENIR À LONG TERME DE LEURS TRIPLO A S INSCRIT EN POINTILLÉ DEUX NOUVEAUX LÉBOURSES EUROPÉENNES S INQUIÈTENT
APRÈS UNE SEMAINE QUI ÉTAIT UNE SEMAINE PLUTÔT POSITIVE SUR LES MARCHÉS UN RETOUR ASSEZ MARQUÉ DES PRINCIPAUX INDICES EUROPÉENS RETOUR QUI S' EST ENCORE CREUSÉ	APRÈS UNE SEMAINE QU ÉTAIT UNE SEMAINE PLUTÔT POSITIVE SUR LES MARCHÉS UN RETOUR ASSEZ MARQUÉ DES PRINCIPAUX INDICES EUROPÉENS RETOUR QUI S EST ENCORE CREUSÉ
HIER SUR LA SÉANCE DE LUNDI AVEC	HIER SUR LA SCIENCE DU LUNDI AVEC
UNE UN REPLI EXTRÊMEMENT MARQUÉ Y COMPRIS LA FRANCE A PERDU QUASIMENT TROIS POUR CENT EN SÉANCE SUR UNE SÉANCE HIER ÇA SIGNIFIE QUE LA TENSION EST REPARTIE D' UNE MANIÈRE ASSEZ BRUTALE SUR LES MARCHÉS EUROPÉENS	UNE REPLIE EXTRÊMEMENT MARQUÉE Y COMPRIS LA FRANCE A PERDU QUASIMENT TROIS POURCENT EN SÉANCE SURCUNE SÉLENCIÈRE ÇA SIGNIFIE QUE L ATTENTION EST REPARTIT D UNE MANIÈRE ASSEZ BRUTALE SUR LES MARCHÉS EUROPÉENS
ET D' AILLEURS IL Y A UN INDICE QUI NE TROMPE PAS C' EST L' INDICE DE LA VOLATILITÉ L' INDICE DE LA PEUR ET CET INDICE A BONDI D' UNE MANIÈRE QUE NOUS N' AVIONS PAS CONNU DEPUIS MAINTENANT QUELQUES MOIS	ET DILLEURS IL Y A UN INDICE QUI NE TROMPE PAS SON NIDE DE LA VOLATILITÉ EXISTE DE LA PEUR QUI S ÉTENDIT SA BONDIT D UNE MANIÈRE NOUS N AVIONS PAS CONNU DEPUIS MAINTENANT QUELQUES MOIS
L' AUTEUR PRÉSUMÉ DE LA FUSILLADE DU THÉÂTRO À LILLE A ÉTÉ PRÉSENTÉ À UN JUGE DANS LE NORD IMAGE ICI DE LEUR ARRIVÉE DE SON ARRIVÉE AU PALAIS DE JUSTICE DE LILLE	L AUTEUR PRÉSUMÉ DE LA FUSILLADE DU TEATRO À L ÎLE A ÉTÉ PRÉSENTÉE UN JUGE DANS LE NORD IMAGICIER DE LEUR ARRIVÉE DE SON ARRIVÉE AU PALAIS DE JUSTICE DE LILLE
LE PREMIER JUILLET UN HOMME AVAIT TUÉ DEUX PERSONNES DEVANT CETTE DISCOTHÈQUE LE SUSPECT AVAIT ÉTÉ ARRÊTÉ QUELQUES JOURS PLUS TARD EN ESPAGNE EN COMPAGNIE DE L' HOMME QUI L' AVAIT AIDÉ À PRENDRE LA FUITE L' EXTRADITION DES DEUX A EU LIEU AUJOURD'HUI	LE PREMIER JUILLET UN HOMME AVAIT TUÉ DEUX PERSONNES DEVANT CETTE DISCOTHÈQUE LE SUSPECT ÉTAIT ARRÊTÉ QUELQUES JOURS PLUS TARD EN ESPAGNE EN COMPAGNIE DE L HOMME QUI L AVAIT AIDÉ À PRENDRE LA FUITE L EXTRADITION ET DES DEUX A EU LIEU AUJOURD HUI
L' ACTUALITÉ C' EST AUSSI CE SOIR LA SYRIE LE GOUVERNEMENT SYRIEN DÉCIDÉ PEUT ÊTRE À UTILISER L' ARME DE LA PEUR	LA QUALITÉ C EST AUSSI CE SOIR L ASSYRIE LE GOUVERNEMENT SYRIEN DÉCIDÉ PEUT ÊTRE UTILISER L ARME DE LA PEUR
(S) POUR LA PREMIÈRE FOIS LE RÉGIME A ADMIS QU' IL DISPOSAIT D' UN ARSENAL CHIMIQUE UNE ANNONCE QUI RÉSONNE COMME UNE MENACE EN CAS D' INTERVENTION ÉTRANGÈRE LES REBELLES SONT D' AILEURS PERSUADÉS QUE LES STOCKS D' ARMES CHIMIQUES SONT EN COURS DE TRANSFERT VERS LES ZONES FRONTALIÈRES ANNA MOREAU	ET POUR LA PREMIÈRE FOIS LE RÉGIME ADMIS QUI DISPOSAIT D UN ARSENAL CHIMIQUE UNE ANNONCE QUI RÉSONNE COMME UNE MENACE EN CAS D INTERVENTIONS ÉTRANGÈRES LES REBELLES SONT D AILLEURS PERSUADÉS QUE LES STOCKS D ARMES CHIMIQUES SONT EN COURS DE TRANSFERT VERS LES ZONES FRONTALIÈRES ANAMORO
EST CE LE LONG DE LA FRONTIÈRE AVEC LA TURQUIE LE LYBAN OU BIEN L' IRAK	EST CE LE LONG DE LA FRONTIÈRE AVEC LA TURQUIE LE LIBAN OU BIEN L IRAK
LES REBELLES SYRIENS NE L' ONT PAS PRÉCISÉ MAIS ILS AFFIRMENT QUE LE RÉGIME A TRANSFÉRÉ UNE PARTIE DE SON ARSENAL D' ARMES CHIMIQUES AUX PORTES DU PAYS	LES REBELLES SYRIENS NE L ONT PAS PRÉCISÉ MAIS ILS AFFIRMENT QUE LE RÉGIME A TRANSFÉRÉ UNE PARTIE DE SON ARSENAL D ARMES CHIMIQUES AUX PORTES DU PAYS
EN CAS D' AGRESSION	EN CAS D AGRESSION
HIER LE RÉGIME A GARANTI QUE CES ARMES NE SERVIRAIENT JAMAIS À LA RÉPRESSION DE SON PEUPLE MAIS PLUTÔT COMME OUTIL DE DISSUASION VIS À VIS DE LA COMMUNAUTÉ INTERNATIONALE	HIER LE RÉGIME GARANTI QUE CÉSAR NE SERVIRAIT JAMAIS À LA RÉPRESSION DE SON PEUPLE MAIS PLUTÔT COMME OUTIL DE DISSUASION VIS À VIS DE LA COMMUNAUTÉ INTERNATIONALE
CES ARMES SONT DESTINÉES À ÊTRE UTILISÉES UNIQUEMENT ET STRICTEMENT DANS LE CAS D' AGRESSION EXTÉRIEURE CONTRE LA RÉPUBLIQUE SYRIENNE	LES ARMANDES SONT DESTINÉS À ÊTRE UTILISÉES UNIQUEMENT ET STRICTEMENT DANS LE CAS D AGRESSION EXTÉRIEURE EN ÉTAIT ENTRE LA RÉPUBLIQUE SYRIENNE
CES DÉCLARATIONS ONT FAIT BONDIR LA MAISON BLANCHE BARACK OBAMA A RÉAFFIRMÉ SA VIGILANCE	CES DÉCLARATIONS ONT FAIT BONDIR LA MAISON BLANCHE BARACK OBAMA RÉAFFIRMER SA VIGILANCE
